tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,D0,D,0,uint16,fast,1,0,,,,,실린더 선택번호
2,D12,D,12,uint16,fast,1,0,,,,,
3,D13,D,13,uint16,fast,1,0,,,,,
4,D101,D,101,uint16,fast,0.1,0,,3,,,
5,D102,D,102,uint16,fast,0.1,0,,2,,,
6,D103,D,103,uint16,fast,0.1,0,,2,,,
7,D104,D,104,uint16,fast,0.1,0,,3,,,
8,D105,D,105,uint16,fast,0.1,0,,2,,,
9,D106,D,106,uint16,fast,0.1,0,,3,,,
10,D107,D,107,uint16,fast,0.1,0,,3,,,
11,D108,D,108,uint16,fast,0.1,0,,3,,,
12,D109,D,109,uint16,fast,0.1,0,,2,,,
13,D110,D,110,uint16,fast,0.1,0,,3,,,
14,D111,D,111,uint16,fast,0.1,0,,2,,,
15,D112,D,112,uint16,fast,0.1,0,,2,,,
16,D130,D,130,int32,fast,1,0,,,,,PLC년
17,D132,D,132,int16,fast,1,0,,,,,PLC일
18,D134,D,134,int16,fast,1,0,,,,,PLC분
19,D136,D,136,int16,fast,1,0,,,,,PLC요일
20,D138,D,138,int16,fast,1,0,,,,,
21,D140,D,140,int16,fast,1,0,,,,,
22,D200,D,200,uint32,fast,1,0,,8,,,총 개수
23,D202,D,202,uint32,fast,1,0,,8,,,좋은 제품 수
24,D204,D,204,uint32,fast,1,0,,8,,,잘못된 카운트
25,D206,D,206,float32,fast,1,0,2,,,,자격률
26,D208,D,208,float32,fast,1,0,2,,,,불량률
27,D210,D,210,uint32,fast,1,0,,10,,,누적 합계
28,D212,D,212,int16,fast,1,0,,2,,,실시간 효율성
29,D214,D,214,int16,fast,1,0,,2,,,분 효율성
30,D216,D,216,uint32,fast,0.1,0,,5,,,사이클 시간
31,D360,D,360,int32,fast,1,0,,,,,시간총생산량로그저장
32,D362,D,362,int32,fast,1,0,,,,,시간OK생산량로그저장
33,D364,D,364,int32,fast,1,0,,,,,시간NG생산량로그저장
34,D366,D,366,int32,fast,1,0,,,,,시간은 합격했어요일지저장
35,D368,D,368,int32,fast,1,0,,,,,시간불량률일지저장
36,D400,D,400,float32,fast,1,0,2,,,,4#CCD1 간격 상한
37,D402,D,402,float32,fast,1,0,2,,,,4#CCD1 갭 하한
38,D404,D,404,float32,fast,1,0,2,,,,4#CCD2 간격 상한
39,D406,D,406,float32,fast,1,0,2,,,,4#CCD2 갭 하한
40,D424,D,424,uint32,fast,0.01,0,,,,,4#CCD2_L 상태 결과
41,D426,D,426,uint32,fast,0.01,0,,,,,4#CCD2_R 상태 결과
42,D500,D,500,int32,fast,0.01,0,,,,,1# 상부 매거진 원점 위치
