# ==============================================================================
# Simple Collector - 태그 정의 예시 (MC Protocol)
# ==============================================================================
#
# 이 파일은 collector_example.yaml과 함께 사용하는 태그 목록입니다.
#
# 컬럼 설명:
#   tag_id            : 태그 고유 ID (DB tag_master.tag_id, PLC 내 유일)
#   tag_name          : 태그 이름 (영문, 밑줄 허용)
#   memory            : PLC 디바이스 (MC: D,M,X,Y,W,R / Modbus: D=HR,I=IR)
#   address           : 시작 주소
#   data_type         : 데이터 타입 (bool,int16,uint16,int32,uint32,float32,string 등)
#   collection_group  : 수집 그룹 (YAML collection_groups.name과 매칭)
#   scale             : 스케일 팩터 (실제값 = raw × scale + offset)
#   offset            : 오프셋
#   decimals          : 소수점 자릿수 (빈값 = 원본 유지)
#   word_length       : string 타입 시 워드 수 (빈값 = 자동)
#   format            : 출력 포맷 (빈값 = 자동)
#   unit              : 단위 (표시용)
#   description       : 태그 설명
#
# DB 매칭:
#   → tag_master 테이블에 UPSERT (plc_id + tag_id 기준)
#   → collection_group 컬럼으로 어떤 그룹에서 수집할지 결정
#
# 그룹 규칙:
#   fast : 실시간 모니터링 데이터 (polling, 2초)
#   alm  : 비트 알람 (on_change, 1초 스캔, 변경 시에만 발행)
#   log  : 설비 상태 로그 (polling, 5초)
#
# ==============================================================================
tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
# ── fast 그룹: 실시간 생산 데이터 ──
1,Current_Model,D,900,string,fast,1,0,,10,,,현재 생산 모델명
2,Cycle_Time,D,216,uint32,fast,0.1,0,1,,,,사이클 타임 (0.1초 단위)
3,Yield_Rate,D,820,float32,fast,1,0,1,,,%, 직행률
4,NG_Total,D,816,uint32,fast,1,0,0,,,EA,NG 총수량
5,Work_Count,D,796,uint32,fast,1,0,0,,,EA,작업수
6,Good_Count,D,798,uint32,fast,1,0,0,,,EA,양품적재수
# ── alm 그룹: 비트 알람 (M 디바이스) ──
# on_change 모드: 0→1(알람 발생) 또는 1→0(알람 해제) 시에만 발행
# event_master 테이블의 memory+address와 매칭하여 alarm_history에 기록
100,ALM_EMG_Stop,M,100,bool,alm,1,0,,,,,비상정지
101,ALM_Motor_OL,M,101,bool,alm,1,0,,,,,모터 과부하
102,ALM_Temp_High,M,102,bool,alm,1,0,,,,,온도 상한 초과
103,ALM_Pressure_Low,M,103,bool,alm,1,0,,,,,압력 하한 미달
104,ALM_Sensor_Err,M,104,bool,alm,1,0,,,,,센서 이상
# ── log 그룹: 설비 상태 로그 (D 디바이스) ──
# polling 모드: 매 5초마다 무조건 수집하여 시계열 추이 기록
200,LOG_Temperature,D,500,float32,log,0.1,0,1,,,℃,설비 온도
201,LOG_Pressure,D,502,float32,log,0.01,0,2,,,MPa,설비 압력
202,LOG_Voltage,D,504,float32,log,0.1,0,1,,,V,전압
203,LOG_Current,D,506,float32,log,0.01,0,2,,,A,전류
204,LOG_Motor_RPM,D,508,uint32,log,1,0,0,,,RPM,모터 회전수
