tag_id,mode,mac_address,device_name,byte_offset,collection_group,tag_name,data_type,scale,offset,decimals,unit,description
# === 1호기 (PTS-2305BP) F6:5A:83:C7:DB:C7 ===
1,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,temperature,float32,1,0,2,℃,1호기 온도
2,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,humidity,float32,1,0,2,%,1호기 습도
3,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,pressure,float32,1,0,2,hPa,1호기 기압
4,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,battery,uint16,1,0,,,1호기 배터리
5,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,prob_temp,float32,1,0,2,℃,1호기 프로브온도
6,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,accel_rms_x,float32,1,0,3,g,1호기 가속도X
7,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,accel_rms_y,float32,1,0,3,g,1호기 가속도Y
8,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,accel_rms_z,float32,1,0,3,g,1호기 가속도Z
9,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,velocity_rms_under_1k,float32,1,0,3,mm/s,1호기 속도RMS
10,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,accel_rms_1k_5k,float32,1,0,3,g,1호기 가속도1-5k
11,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,vibration_peak,uint16,1,0,,,1호기 진동피크
12,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,harmony_cnt_under_1k,uint16,1,0,,,1호기 고조파수<1k
13,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,harmony_cnt_1k_5k,uint16,1,0,,,1호기 고조파수1-5k
14,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,gravity_mag_xyz,uint16,1,0,,,1호기 중력크기
15,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,sound_db,uint16,1,0,,dB,1호기 소음
16,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,sound_peak,uint16,1,0,,,1호기 소음피크
