tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,unit,string_length,word_length,format,description
1,temperature,,temperature,float32,ble_env,1,0,2,℃,,,,온도
2,humidity,,humidity,float32,ble_env,1,0,2,%,,,,습도
3,pressure,,pressure,float32,ble_env,1,0,2,hPa,,,,기압
4,battery,,battery,uint16,ble_env,1,0,,%,,,,배터리잔량
5,prob_temp,,prob_temp,float32,ble_env,1,0,2,℃,,,,프로브온도
6,accel_rms_x,,accel_rms_x,float32,ble_vib,1,0,3,g,,,,가속도RMS X
7,accel_rms_y,,accel_rms_y,float32,ble_vib,1,0,3,g,,,,가속도RMS Y
8,accel_rms_z,,accel_rms_z,float32,ble_vib,1,0,3,g,,,,가속도RMS Z
9,velocity_rms,,velocity_rms_under_1k,float32,ble_vib,1,0,3,mm/s,,,,속도RMS <1kHz
10,accel_rms_1k5k,,accel_rms_1k_5k,float32,ble_vib,1,0,3,g,,,,가속도RMS 1-5kHz
11,vibration_peak,,vibration_peak,uint16,ble_vib,1,0,,,,,,진동피크
12,harmony_cnt_low,,harmony_cnt_under_1k,uint16,ble_vib,1,0,,,,,,고조파수 <1kHz
13,harmony_cnt_high,,harmony_cnt_1k_5k,uint16,ble_vib,1,0,,,,,,고조파수 1-5kHz
14,gravity_mag,,gravity_mag_xyz,uint16,ble_vib,1,0,,,,,,중력크기
15,sound_db,,sound_db,uint16,ble_vib,1,0,,dB,,,,소음
16,sound_peak,,sound_peak,uint16,ble_vib,1,0,,,,,,소음피크
17,rssi,,rssi,int16,ble_env,1,0,,dBm,,,,신호강도
18,version,,version,uint16,ble_env,1,0,,,,,,펌웨어버전
19,mode,,mode,uint16,ble_env,1,0,,,,,,동작모드
20,battery_low,,battery,bool,ble_alm,1,0,,,,,,배터리부족알람
