tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,D0,D,0,uint16,fast,1,0,,,,,실린더 선택번호
2,D200,D,200,uint32,fast,1,0,,8,,,총 개수
3,D202,D,202,uint32,fast,1,0,,8,,,좋은 제품 수
4,D204,D,204,uint32,fast,1,0,,8,,,잘못된 카운트
5,D206,D,206,float32,fast,1,0,2,,,,자격률
6,D208,D,208,float32,fast,1,0,2,,,,불량률
7,D210,D,210,uint32,fast,1,0,,10,,,누적 합계
8,D212,D,212,int16,fast,1,0,,2,,,실시간 효율성
9,D214,D,214,int16,fast,1,0,,2,,,분 효율성
10,D216,D,216,uint32,fast,0.1,0,,5,,,사이클 시간
11,D330,D,330,int16,fast,1,0,,,,,PLC 연도
12,D331,D,331,int16,fast,1,0,,,,,PLC 월
13,D332,D,332,int16,fast,1,0,,,,,PLC데이
14,D333,D,333,int16,fast,1,0,,,,,PLC
15,D334,D,334,int16,fast,1,0,,,,,PLC 포인트
16,D335,D,335,int16,fast,1,0,,,,,PLC 초
17,D360,D,360,int32,log,1,0,,,,,시간별 총 출력 로그 저장
18,D362,D,362,int32,log,1,0,,,,,시간별 OK 출력 로그가 저장되었습니다.
19,D364,D,364,int32,log,1,0,,,,,시간별 NG 생산 로그 저장
20,D366,D,366,int32,log,1,0,,,,,시간당 합격률 로그 저장
21,D368,D,368,int32,log,1,0,,,,,시간별 불량률 로그 저장
22,D500,D,500,int32,fast,0.01,0,,,,,왼쪽과 오른쪽의 로딩 및 언로딩 위치
23,D502,D,502,int32,fast,0.01,0,,,,,피드의 왼쪽과 오른쪽에 있는 로진의 위치
24,D504,D,504,int32,fast,0.01,0,,,,,왼쪽 및 오른쪽 납땜 위치 로드 1
25,D506,D,506,int32,fast,0.01,0,,,,,왼쪽과 오른쪽의 적재 및 배출 위치
26,D508,D,508,int32,fast,0.01,0,,,,,왼쪽 및 오른쪽 납땜 위치 로드 2
27,D520,D,520,int32,fast,0.01,0,,,,,상하 원점 위치 로딩
28,D522,D,522,int32,fast,0.01,0,,,,,로딩 및 언로딩 위치
29,D524,D,524,int32,fast,0.01,0,,,,,로진 위치 1 로드 및 하강
30,D526,D,526,int32,fast,0.01,0,,,,,로진 위치 2 로드 및 하강
31,D528,D,528,int32,fast,0.01,0,,,,,상단 및 하단 납땜 위치 로드 1
32,D530,D,530,int32,fast,0.01,0,,,,,상단 및 하단 납땜 위치 2 로드
33,D532,D,532,int32,fast,0.01,0,,,,,적재 및 하강 위치
34,D534,D,534,int32,fast,0.01,0,,,,,솔더 리프트 위치
35,D540,D,540,int32,fast,0.01,0,,,,,재료 다이얼링 서보 시작 위치
36,D542,D,542,int32,fast,0.01,0,,,,,재료 설정 서보 핫 리벳팅 위치
37,D544,D,544,int32,fast,0.01,0,,,,,4#1상하검색종료위치
38,D546,D,546,int32,fast,0.01,0,,,,,4#1상하검출종료위치
39,D1002,D,1002,uint32,fast,0.01,0,,,,,좌우 로딩 수동 속도
40,D1006,D,1006,int32,fast,0.01,0,,5,,,왼쪽 및 오른쪽 로딩 현재 위치
41,D1008,D,1008,uint16,fast,1,0,,4,,,왼쪽과 오른쪽 하중 원점 사이의 거리
42,D1010,D,1010,uint32,fast,0.01,0,,,,,좌우 주행 속도 공급
43,D1012,D,1012,uint32,fast,0.01,0,,,,,좌우 납땜 속도 공급
44,D1022,D,1022,uint32,fast,0.01,0,,,,,수동 로딩 속도
45,D1026,D,1026,int32,fast,0.01,0,,5,,,선적 및 하역 현재 위치
46,D1028,D,1028,uint16,fast,1,0,,4,,,하중의 상부 및 하부 원점 사이의 거리
47,D1030,D,1030,uint32,fast,0.01,0,,,,,로딩 및 언 로딩 속도
48,D1032,D,1032,uint32,fast,0.01,0,,,,,로진의 로딩 속도 위아래
49,D1034,D,1034,uint32,fast,0.01,0,,,,,주석 로딩 및 언 로딩 속도
50,D1036,D,1036,uint32,fast,0.01,0,,,,,로딩 및 리프팅 속도
51,D1040,D,1040,uint32,fast,0.01,0,,,,,재료 다이얼링 자동 속도
52,D1042,D,1042,uint32,fast,0.01,0,,,,,재료 다이얼링 수동 속도
53,D1046,D,1046,int32,fast,0.01,0,,5,,,현재 위치를 다이얼
54,D1048,D,1048,uint16,fast,1,0,,4,,,재료 원산지 간격
55,D1500,D,1500,uint16,fast,0.1,0,,,,,1# 자재 도착 지연
56,D1502,D,1502,int16,fast,0.1,0,,5,,,3# 주석 와이어 시간 초과
57,D1504,D,1504,int16,fast,0.1,0,,,,,3# 주석 주석 시간
58,D1506,D,1506,int16,fast,0.1,0,,,,,4# 리벳팅 시간
59,D1510,D,1510,int16,fast,0.1,0,,,,,정지 시간
60,D1512,D,1512,int16,fast,0.1,0,,,,,리프트 정지 시간
61,D3400,D,3400,uint16,fast,0.1,0,,3,,,CT1
62,D3401,D,3401,uint16,fast,0.1,0,,3,,,CT2
63,D3403,D,3403,uint16,fast,0.1,0,,3,,,CT4
64,M0,M,0,bool,fast,1,0,,,,,OFF 연속 운전 ON 단일 단계 운전
65,M1,M,1,bool,fast,1,0,,,,,OFF 연속주기 ON 단일주기
66,M2,M,2,bool,fast,1,0,,,,,ON은 청소 중
67,M18,M,18,bool,fast,1,0,,,,,왼쪽 및 오른쪽 음수 제한 표시 등 로드
68,M19,M,19,bool,fast,1,0,,,,,왼쪽 및 오른쪽 포지티브 리미트 표시 등 로딩
69,M28,M,28,bool,fast,1,0,,,,,상한 및 하한 음수 제한 표시 등 로딩
70,M29,M,29,bool,fast,1,0,,,,,로딩 상한 및 하한 포지티브 리미트 표시등
71,M38,M,38,bool,fast,1,0,,,,,재료 음수 한계 표시 등
72,M39,M,39,bool,fast,1,0,,,,,재료 양수 한계 표시 등
73,M150,M,150,bool,fast,1,0,,,,,서보 브레이크 위아래로 1#
74,M188,M,188,bool,log,1,0,,,,,시간별 로깅이 시작되었습니다.
75,M189,M,189,bool,fast,1,0,,,,,1시간마다 터치스크린 로그 삭제
76,M190,M,190,bool,fast,1,0,,,,,시간별 로그를 SD 카드에 다운로드
77,M191,M,191,bool,fast,1,0,,,,,시간별 로그를 USB로 다운로드
78,M194,M,194,bool,fast,1,0,,,,,
79,M500,M,500,bool,fast,1,0,,,,,로딩 및 언로딩 위치 지정
80,M501,M,501,bool,fast,1,0,,,,,적재 및 하역 위치가 제자리에 있습니다.
81,M502,M,502,bool,fast,1,0,,,,,먹이의 왼쪽과 오른쪽에 로진 위치 지정
82,M503,M,503,bool,fast,1,0,,,,,피드의 왼쪽과 오른쪽에 로진 위치가 제자리에 있습니다.
83,M504,M,504,bool,fast,1,0,,,,,로딩의 왼쪽과 오른쪽에 납땜 위치 1 위치 지정
84,M505,M,505,bool,fast,1,0,,,,,투입물 좌우측 납땜 위치 1이 제자리에 있음
85,M506,M,506,bool,fast,1,0,,,,,적재 및 배출 위치의 위치 결정
86,M507,M,507,bool,fast,1,0,,,,,적재 및 배출 위치가 제자리에 있습니다.
87,M508,M,508,bool,fast,1,0,,,,,로딩의 왼쪽과 오른쪽에 납땜 위치 2 위치 지정
88,M509,M,509,bool,fast,1,0,,,,,투입재 좌우측 납땜위치 2 위치
89,M520,M,520,bool,fast,1,0,,,,,하중의 상부 및 하부 원점 위치 결정
90,M521,M,521,bool,fast,1,0,,,,,상하 하중 원점이 위치함
91,M522,M,522,bool,fast,1,0,,,,,로딩 및 언로딩 위치 지정
92,M523,M,523,bool,fast,1,0,,,,,적재 및 하역 위치가 제자리에 있습니다.
93,M524,M,524,bool,fast,1,0,,,,,로딩을 위한 상하 로진 위치 1 위치 지정
94,M525,M,525,bool,fast,1,0,,,,,적재재의 상하 로진 위치 1이 제자리에 있음
95,M526,M,526,bool,fast,1,0,,,,,로딩을 위한 상부 및 하부 로진 위치 2 위치 지정
96,M527,M,527,bool,fast,1,0,,,,,적재재의 상하 로진 위치 2가 제자리에 있습니다.
97,M528,M,528,bool,fast,1,0,,,,,상단 및 하단 납땜 위치 1 위치 지정
98,M529,M,529,bool,fast,1,0,,,,,충전재의 상부 및 하부 납땜 위치가 제자리에 있습니다. 1
99,M530,M,530,bool,fast,1,0,,,,,상단 및 하단 납땜 위치 2 위치 지정 로드
100,M531,M,531,bool,fast,1,0,,,,,로딩재의 상하 납땜 위치 2가 제자리에 있습니다.
101,M532,M,532,bool,fast,1,0,,,,,로딩 및 언로딩 위치 지정
102,M533,M,533,bool,fast,1,0,,,,,적재 및 하역 위치가 제자리에 있습니다.
103,M534,M,534,bool,fast,1,0,,,,,솔더 리프트 위치
104,M535,M,535,bool,fast,1,0,,,,,솔더 리프트 위치가 제자리에 있습니다.
