tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,L2066,L,2066,bool,alm,1,0,,,,,7#자재 피킹 전후 수동 미환원
2,L2067,L,2067,bool,alm,1,0,,,,,7#자재 피킹 가로 이동1 수동 미환원
3,L2068,L,2068,bool,alm,1,0,,,,,7#자재 피킹 가로 이동2 수동 미환원
4,L2069,L,2069,bool,alm,1,0,,,,,8#자재 피킹 전후 수동 미환원
5,L2070,L,2070,bool,alm,1,0,,,,,8#자재 피킹 가로 이동 수동 미환원
6,L2071,L,2071,bool,alm,1,0,,,,,8#씰제 받기전후 수동 미환원
7,L2072,L,2072,bool,alm,1,0,,,,,9#자재 피킹 전후 수동 미환원
8,L2073,L,2073,bool,alm,1,0,,,,,9#자재 피킹 가로이동 1 수동 미환원
9,L2074,L,2074,bool,alm,1,0,,,,,9#자재 피킹 가로이동 2 수동 미환원
10,L2075,L,2075,bool,alm,1,0,,,,,10#자재 밀어내기 수동 미환원
11,L2076,L,2076,bool,alm,1,0,,,,,10# 가림막 상하 수동 미환원
12,L2077,L,2077,bool,alm,1,0,,,,,10# 자재 돌림 1 수동 미환원
13,L2078,L,2078,bool,alm,1,0,,,,,10# 자재 돌림 2 수동 미환원
14,L2079,L,2079,bool,alm,1,0,,,,,10# 자재 돌림 3 수동 미환원
15,L2080,L,2080,bool,alm,1,0,,,,,10# 자재 돌림 4 수동 미환원
16,L2081,L,2081,bool,alm,1,0,,,,,10# 자재 돌림 5 수동 미환원
17,L2082,L,2082,bool,alm,1,0,,,,,10# 자재 돌림 6 수동 미환원
18,L2083,L,2083,bool,alm,1,0,,,,,10# 자재 돌림 7 수동 미환원
19,L2084,L,2084,bool,alm,1,0,,,,,10# 자재 돌림 8 수동 미환원
20,L2085,L,2085,bool,alm,1,0,,,,,11# 자재 피킹 전후 수동 미환원
21,L2086,L,2086,bool,alm,1,0,,,,,11# 자재 피킹 가로 이동 1 수동 미환원
22,L2087,L,2087,bool,alm,1,0,,,,,11# 자재 피킹 가로 이동 2 수동 미환원
23,L2088,L,2088,bool,alm,1,0,,,,,12# 자재 피킹 전후 수동 미환원
24,L2089,L,2089,bool,alm,1,0,,,,,12# 가림막 상하 수동 미환원
25,L2100,L,2100,bool,alm,1,0,,,,,12# 오배료 수동 미환원
26,L2101,L,2101,bool,alm,1,0,,,,,12# 배출 스토퍼 수동 미환원
27,L2102,L,2102,bool,alm,1,0,,,,,12# 배출 및 푸셔 수동 미환원
28,L2103,L,2103,bool,alm,1,0,,,,,12# 배출 위치 결정 수동 미환원
29,L3066,L,3066,bool,alm,1,0,,,,,7#자재 피킹 전후 실린더 이상
30,L3067,L,3067,bool,alm,1,0,,,,,7#자재 피킹 가로이동 1 실린더 이상
31,L3068,L,3068,bool,alm,1,0,,,,,7#자재 피킹 가로이동 2 실린더 이상
32,L3069,L,3069,bool,alm,1,0,,,,,7#자재 피킹 전후 실린더 이상
33,L3070,L,3070,bool,alm,1,0,,,,,7#자재 피킹 가로이동 실린더 이상
34,L3071,L,3071,bool,alm,1,0,,,,,8#씰제 받기 전후 실린더 이상
35,L3072,L,3072,bool,alm,1,0,,,,,9#자재 피킹 전후 실린더 이상
36,L3073,L,3073,bool,alm,1,0,,,,,9#자재 피킹 가로이동 1 실린더 이상
37,L3074,L,3074,bool,alm,1,0,,,,,9#자재 피킹 가로이동 2 실린더 이상
38,L3075,L,3075,bool,alm,1,0,,,,,10# 자재 밀어내기 실린더 이상
39,L3076,L,3076,bool,alm,1,0,,,,,10# 자재 막기 실린더 이상
40,L3077,L,3077,bool,alm,1,0,,,,,10# 자재 돌림 1 실린더 이상
41,L3078,L,3078,bool,alm,1,0,,,,,10# 자재 돌림 2 실린더 이상
42,L3079,L,3079,bool,alm,1,0,,,,,10# 자재 돌림 3 실린더 이상
43,L3080,L,3080,bool,alm,1,0,,,,,10# 자재 돌림 4 실린더 이상
44,L3081,L,3081,bool,alm,1,0,,,,,10# 자재 돌림 5 실린더 이상
45,L3082,L,3082,bool,alm,1,0,,,,,10# 자재 돌림 6 실린더 이상
46,L3083,L,3083,bool,alm,1,0,,,,,10# 자재 돌림 7 실린더 이상
47,L3084,L,3084,bool,alm,1,0,,,,,10# 자재 돌림 8 실린더 이상
48,L3085,L,3085,bool,alm,1,0,,,,,11#자재 피킹 전후 실린더 이상
49,L3086,L,3086,bool,alm,1,0,,,,,11#자재 피킹 가로이동 1 실린더 이상
50,L3087,L,3087,bool,alm,1,0,,,,,11#자재 피킹 가로이동 2 실린더 이상
51,L3088,L,3088,bool,alm,1,0,,,,,12#자재 피킹 전후 실린더 이상
