tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,D0,D,0,uint16,plc_data,1,0,,,,,실린더 선택번호
2,D100,D,100,int16,plc_data,1,0,,,,,현재 모델
3,D200,D,200,uint32,plc_data,1,0,,8,,,총 개수
4,D202,D,202,uint32,plc_data,1,0,,8,,,좋은 제품 수
5,D204,D,204,uint32,plc_data,1,0,,8,,,잘못된 카운트
6,D206,D,206,float32,plc_data,1,0,2,,,,자격률
7,D208,D,208,float32,plc_data,1,0,2,,,,불량률
8,D210,D,210,uint32,plc_data,1,0,,8,,,누적 합계
9,D212,D,212,int16,plc_data,1,0,,2,,,실시간 효율성
10,D214,D,214,int16,plc_data,1,0,,2,,,분 효율성
11,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
12,D360,D,360,int32,log,1,0,,,,,시간별 총 출력 로그 저장
13,D362,D,362,int32,log,1,0,,,,,시간별 OK 출력 로그가 저장되었습니다.
14,D364,D,364,int32,log,1,0,,,,,시간별 NG 생산 로그 저장
15,D366,D,366,int32,log,1,0,,,,,시간당 합격률 로그 저장
16,D368,D,368,int32,log,1,0,,,,,시간별 불량률 로그 저장
17,D400,D,400,float32,plc_data,1,0,1,,,,DC12V 전원 1 전압 설정
18,D402,D,402,float32,plc_data,1,0,1,,,,DC12V 전원 2 전압 설정
19,D500,D,500,int32,plc_data,0.01,0,,,,,1# 미싱 원점
20,D502,D,502,int32,plc_data,0.01,0,,,,,1# 밀기 위치 1
21,D504,D,504,int32,plc_data,0.01,0,,,,,1# 미는 위치 2
22,D506,D,506,int32,plc_data,0.01,0,,,,,1# 푸시 위치 3
23,D508,D,508,int32,plc_data,0.01,0,,,,,1# 푸시 위치 4
24,D510,D,510,int32,plc_data,0.01,0,,,,,1# 푸시 위치 5
25,D512,D,512,int32,plc_data,0.01,0,,,,,1# 푸시 위치 6
26,D514,D,514,int32,plc_data,0.01,0,,,,,1# 푸시 위치 7
27,D520,D,520,int32,plc_data,0.01,0,,,,,11# 따기 위치
28,D530,D,530,int32,plc_data,0.01,0,,,,,11# 로드 NG 위치 클립 1
29,D532,D,532,int32,plc_data,0.01,0,,,,,11# 로드 NG 위치 클립 2
30,D534,D,534,int32,plc_data,0.01,0,,,,,11# 로드 NG 위치 클립 3
31,D536,D,536,int32,plc_data,0.01,0,,,,,11# 로드 NG 위치 클램프 4
32,D538,D,538,int32,plc_data,1,0,,,,,11# 앵커 포인트 입력
33,D540,D,540,int32,plc_data,0.01,0,,,,,11# 코일 저항 NG 위치 클립 1
34,D542,D,542,int32,plc_data,0.01,0,,,,,11# 코일 저항 NG 위치 클립 2
35,D544,D,544,int32,plc_data,0.01,0,,,,,11# 코일 저항 NG 위치 클립 3
36,D546,D,546,int32,plc_data,0.01,0,,,,,11# 코일 저항 NG 위치 클립 4
37,D550,D,550,int32,plc_data,0.01,0,,,,,11# 내압성 1NG 위치 클립 1
38,D552,D,552,int32,plc_data,0.01,0,,,,,11# 내압 1NG 위치 클립 2
39,D554,D,554,int32,plc_data,0.01,0,,,,,11# 내압 1NG 위치 클립 3
40,D556,D,556,int32,plc_data,0.01,0,,,,,11# 내압 1NG 위치 클립 4
41,D560,D,560,int32,plc_data,0.01,0,,,,,11# 내압성 2NG 위치 클립 1
42,D562,D,562,int32,plc_data,0.01,0,,,,,11# 내압 2NG 위치 클립 2
43,D564,D,564,int32,plc_data,0.01,0,,,,,11# 내압 2NG 위치 클립 3
44,D566,D,566,int32,plc_data,0.01,0,,,,,11# 내압 2NG 위치 클립 4
45,D570,D,570,int32,plc_data,0.01,0,,,,,11# 동작 전압 NG 위치 클립 1
46,D572,D,572,int32,plc_data,0.01,0,,,,,11# 동작 전압 NG 위치 클립 2
47,D574,D,574,int32,plc_data,0.01,0,,,,,11# 동작 전압 NG 위치 클립 3
48,D576,D,576,int32,plc_data,0.01,0,,,,,11# 동작 전압 NG 위치 클립 4
49,D580,D,580,int32,plc_data,0.01,0,,,,,11# 리셋 전압 NG 위치 클립 1
50,D582,D,582,int32,plc_data,0.01,0,,,,,11# 리셋 전압 NG 위치 클립 2
51,D584,D,584,int32,plc_data,0.01,0,,,,,11# 리셋 전압 NG 위치 클립 3
52,D586,D,586,int32,plc_data,0.01,0,,,,,11# 리셋 전압 NG 위치 클립 4
53,D590,D,590,int32,plc_data,0.01,0,,,,,11# 접촉 저항 NG 위치 클립 1
54,D592,D,592,int32,plc_data,0.01,0,,,,,11# 접촉 저항 NG 위치 클립 2
55,D594,D,594,int32,plc_data,0.01,0,,,,,11# 접촉 저항 NG 위치 클립 3
56,D596,D,596,int32,plc_data,0.01,0,,,,,11# 접촉 저항 NG 위치 클립 4
57,D840,D,840,uint32,plc_data,1,0,,6,,,7# 내압성 1 검색결과 1
