tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,L2001,L,2001,bool,alm,1,0,,,,,0# 이온 송풍 전자 밸브 수동 미환원
2,L2002,L,2002,bool,alm,1,0,,,,,1# 탄창  클램프 위치 결정 실린더 수동 미환원
3,L2003,L,2003,bool,alm,1,0,,,,,1#탄창  클램프 상하 실린더 수동 미환원
4,L2004,L,2004,bool,alm,1,0,,,,,1# 탄창 클램프 실린더 수동미환원
5,L2005,L,2005,bool,alm,1,0,,,,,1# 실린더 압출 수동 미환원
6,L2006,L,2006,bool,alm,1,0,,,,,1# 재료 운송 튜브 1 실린더 수동 미환원
7,L2007,L,2007,bool,alm,1,0,,,,,1# 재료 운송 튜브 2 실린더 수동 미환원
8,L2008,L,2008,bool,alm,1,0,,,,,1# 트레이 튜브 1 실린더 수동 미환원
9,L2009,L,2009,bool,alm,1,0,,,,,1# 트레이 2 수동 미환원
10,L2010,L,2010,bool,alm,1,0,,,,,1# 튜브 위치 결정 수동 미환원
11,L2011,L,2011,bool,alm,1,0,,,,,1# 튜브 취기 수동 미환원
12,L2012,L,2012,bool,alm,1,0,,,,,1# 프레싱 튜브 1 실린더 수동 미환원
13,L2013,L,2013,bool,alm,1,0,,,,,1# 프레싱 튜브 2 실린더 수동 미환원
14,L2014,L,2014,bool,alm,1,0,,,,,1# 드레인 실린더 수동 미환원
15,L2015,L,2015,bool,alm,1,0,,,,,1# 먼지 제거 송풍기 수동 미환원
16,L2017,L,2017,bool,alm,1,0,,,,,1# 재료 운송 실린더 수동 미환원
17,L2018,L,2018,bool,alm,1,0,,,,,1# 자재 그립퍼 1 수동 미환원
18,L2019,L,2019,bool,alm,1,0,,,,,1# 자재 그립퍼 2 수동 미환원
19,L2020,L,2020,bool,alm,1,0,,,,,1# 4# 홀더 1 수동 미환원 3 수동 미환원
20,L2021,L,2021,bool,alm,1,0,,,,,4# 재료 운송 실린더 수동 미환원
21,L2022,L,2022,bool,alm,1,0,,,,,4# 위치 어긋남 실린더 수동 미환원
22,L2023,L,2023,bool,alm,1,0,,,,,4# 재료 취출 전후 실린더 수동 미환원
23,L2024,L,2024,bool,alm,1,0,,,,,4# 자재 그립퍼 1 수동 미환원
