tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,L2001,L,2001,bool,alm,1,0,,,,,0# 이온 송풍 전자 밸브 수동 미환원
2,L2002,L,2002,bool,alm,1,0,,,,,1# 재료 운송 1 실린더 수동 미환원
3,L2003,L,2003,bool,alm,1,0,,,,,1# 재료 Pick up 회전 1 수동 미환원
4,L2004,L,2004,bool,alm,1,0,,,,,1# 재료 Pick up 회전 2 수동 미환원
5,L2005,L,2005,bool,alm,1,0,,,,,1# 재료 Pick up 그립퍼 1 수동 미환원
6,L2006,L,2006,bool,alm,1,0,,,,,1# 재료 Pick up 그립퍼 1 수동 미환원
7,L2007,L,2007,bool,alm,1,0,,,,,3# 재료 운송 수동 미환원
8,L2008,L,2008,bool,alm,1,0,,,,,3#Pick up 회전 실린더 1 수동 미환원
9,L2009,L,2009,bool,alm,1,0,,,,,3#Pick up 회전 실린더 2 수동 미환원
10,L2010,L,2010,bool,alm,1,0,,,,,3#Pick up 그립퍼 1 수동 미환원
11,L2011,L,2011,bool,alm,1,0,,,,,3#Pick up 그립퍼 2 수동 미환원
12,L2012,L,2012,bool,alm,1,0,,,,,4#상하 검 수동 미환원
13,L2013,L,2013,bool,alm,1,0,,,,,5# 재료 운송 수동 미환원
14,L2014,L,2014,bool,alm,1,0,,,,,5# 기어가 수동으로 복원되지 않음
15,L2015,L,2015,bool,alm,1,0,,,,,5# 중계 위치 교환 1 수동 미환원
16,L2016,L,2016,bool,alm,1,0,,,,,5# 중계 그립퍼 1 수동 미환원
17,L2017,L,2017,bool,alm,1,0,,,,,5# 중계 그립퍼 2 수동 미환원
18,L2018,L,2018,bool,alm,1,0,,,,,5# Pick up 그립퍼 1 수동 미환원
19,L2019,L,2019,bool,alm,1,0,,,,,5# Pick up 그립퍼 2 수동 미환원
20,L2020,L,2020,bool,alm,1,0,,,,,5# 제품을 놓는 회전1 수동 미환원
21,L2021,L,2021,bool,alm,1,0,,,,,5# 제품을 놓는 회전2 수동 미환원
22,L2022,L,2022,bool,alm,1,0,,,,,5# 제품을 놓는 그립퍼 1 수동 미환원
23,L2023,L,2023,bool,alm,1,0,,,,,5# 제품을 놓는 그립퍼 2 수동 미환원
24,L2024,L,2024,bool,alm,1,0,,,,,5# 지그 실행  수동 미환원
25,L2025,L,2025,bool,alm,1,0,,,,,6# 상하검사 1 수동 미환원
26,L2026,L,2026,bool,alm,1,0,,,,,6# 상하검사 2 수동 미환원
27,L2027,L,2027,bool,alm,1,0,,,,,9# 상하검사 2 수동 미환원
28,L2028,L,2028,bool,alm,1,0,,,,,9# 위치를 막음 수동 미환원
29,L2029,L,2029,bool,alm,1,0,,,,,9# 중계 위치 교환 1 수동 미환원
30,L2030,L,2030,bool,alm,1,0,,,,,9# 중계 위치 교환 2 수동 미환원
31,L2031,L,2031,bool,alm,1,0,,,,,9#Pick up 진공 1 수동 미환원
32,L2032,L,2032,bool,alm,1,0,,,,,9#Pick up 파진공 1 수동 미환원
33,L2033,L,2033,bool,alm,1,0,,,,,9#Pick up 진공 2 수동 미환원
34,L2034,L,2034,bool,alm,1,0,,,,,9#Pick up 파진공 2 수동 미환원
35,L2035,L,2035,bool,alm,1,0,,,,,9# 제품을 놓는 회전1 수동 미환원
36,L2036,L,2036,bool,alm,1,0,,,,,9# 제품을 놓는 회전2 수동 미환원
37,L2037,L,2037,bool,alm,1,0,,,,,9# 제품을 놓는 그립퍼 1 수동 미환원
38,L2038,L,2038,bool,alm,1,0,,,,,9# 제품을 놓는 그립퍼 2 수동 미환원
39,L2039,L,2039,bool,alm,1,0,,,,,9# 지그 실행  수동 미환원
40,L2040,L,2040,bool,alm,1,0,,,,,10# 하부로 누름 수동 미 환원
41,L2041,L,2041,bool,alm,1,0,,,,,10# 상하 검사 수동 미 환원
42,L2042,L,2042,bool,alm,1,0,,,,,10# 위치 이동 수동 미 환원
43,L2043,L,2043,bool,alm,1,0,,,,,10# CCD 수동 미 환원
44,L2044,L,2044,bool,alm,1,0,,,,,14# 지그 실행  수동 미환원
45,L2045,L,2045,bool,alm,1,0,,,,,14# Pick up 회전 수동 미환원
46,L2046,L,2046,bool,alm,1,0,,,,,14# Pick up 그립퍼 1 수동 미환원
47,L2047,L,2047,bool,alm,1,0,,,,,14# Pick up 그립퍼 2 수동 미환원
48,L2048,L,2048,bool,alm,1,0,,,,,14# 제품을 놓는 상하 수동 미 환원
49,L2049,L,2049,bool,alm,1,0,,,,,14# 제품을 놓는 그립퍼 1 수동 미 환원
50,L2050,L,2050,bool,alm,1,0,,,,,14# 제품을 놓는 그립퍼 2 수동 미 환원
51,L2051,L,2051,bool,alm,1,0,,,,,14# 중계 회전1 수동 미환원
52,L2052,L,2052,bool,alm,1,0,,,,,14# 중계 회전2 수동 미환원
53,L2053,L,2053,bool,alm,1,0,,,,,14# 위치 교환  수동 미환원
54,L2054,L,2054,bool,alm,1,0,,,,,14# 제품 밀어내기  수동 미환원
55,L2055,L,2055,bool,alm,1,0,,,,,14# 제품 갈라내기  수동 미환원
56,L2057,L,2057,bool,alm,1,0,,,,,5# 위치 교환  수동 미환원
57,L2058,L,2058,bool,alm,1,0,,,,,15# 지그 실행 수동 미환원
58,L2059,L,2059,bool,alm,1,0,,,,,15# 가로이동 수동 미환원
59,L2060,L,2060,bool,alm,1,0,,,,,15# 상하 수동 미환원
60,L2061,L,2061,bool,alm,1,0,,,,,15# 그립퍼 1 수동 미환원
61,L2062,L,2062,bool,alm,1,0,,,,,15# 그립퍼 2 수동 미환원
62,L2063,L,2063,bool,alm,1,0,,,,,16# 먼지제거 상하 수동 미환원
63,L2064,L,2064,bool,alm,1,0,,,,,16# 먼지제거 블로우 수동 미환원
64,L2065,L,2065,bool,alm,1,0,,,,,9# 중계 진공 1 수동 미환원
65,L2067,L,2067,bool,alm,1,0,,,,,10# 검사 전후 수동 미환원
66,L3001,L,3001,bool,alm,1,0,,,,,0# 이온 송풍 전자 밸브 이상
67,L3002,L,3002,bool,alm,1,0,,,,,1# 재료 운송 실린더 이상
68,L3003,L,3003,bool,alm,1,0,,,,,1# Pick up 회전 1 실린더 이상
69,L3004,L,3004,bool,alm,1,0,,,,,1# Pick up 회전 2 실린더 이상
70,L3005,L,3005,bool,alm,1,0,,,,,1# Pick up 그립퍼 1 실린더 이상
71,L3006,L,3006,bool,alm,1,0,,,,,1# Pick up 그립퍼 2 실린더 이상
72,L3007,L,3007,bool,alm,1,0,,,,,3#자재 이송 실린더 이상
73,L3008,L,3008,bool,alm,1,0,,,,,3# Pick up 회전 1 실린더 이상
74,L3009,L,3009,bool,alm,1,0,,,,,3# Pick up 회전 2 실린더 이상
75,L3010,L,3010,bool,alm,1,0,,,,,3# Pick up 그립퍼 1 실린더 이상
76,L3011,L,3011,bool,alm,1,0,,,,,3# Pick up 그립퍼 2 실린더 이상
77,L3012,L,3012,bool,alm,1,0,,,,,4# 상하검출 실린더  이상
78,L3013,L,3013,bool,alm,1,0,,,,,5#자재 이송 실린더 이상
79,L3014,L,3014,bool,alm,1,0,,,,,5# 위치를 막는 실린더 이상
80,L3015,L,3015,bool,alm,1,0,,,,,5# 중계 위치 교환 1 실린더 이상
81,L3016,L,3016,bool,alm,1,0,,,,,5# 중계 그립퍼 1 이상
82,L3017,L,3017,bool,alm,1,0,,,,,5# 중계 그립퍼 2 이상
83,L3018,L,3018,bool,alm,1,0,,,,,5# Pick up 그립퍼 1 이상
84,L3019,L,3019,bool,alm,1,0,,,,,5# Pick up 그립퍼 2 이상
85,L3020,L,3020,bool,alm,1,0,,,,,5# 제품 놓고 회전 1 실린더 이상
86,L3021,L,3021,bool,alm,1,0,,,,,5# 제품 놓고 회전 2 실린더 이상
87,L3022,L,3022,bool,alm,1,0,,,,,5# 제품 놓는 그립퍼 1 이상
88,L3023,L,3023,bool,alm,1,0,,,,,5# 제품 놓는 그립퍼 2 이상
89,L3024,L,3024,bool,alm,1,0,,,,,5# 지그 실행  실린더 이상
90,L3025,L,3025,bool,alm,1,0,,,,,6# 상하 검사 1 실린더 이상
91,L3026,L,3026,bool,alm,1,0,,,,,6# 상하 검사 2 실린더 이상
92,L3027,L,3027,bool,alm,1,0,,,,,9# 자재 이송 실린더 이상
93,L3028,L,3028,bool,alm,1,0,,,,,9# 위치를 막는 실린더 이상
94,L3029,L,3029,bool,alm,1,0,,,,,9# 중계 위치 교환 1 실린더 이상
95,L3030,L,3030,bool,alm,1,0,,,,,9# 중계 위치 교환 2 실린더 이상
96,L3031,L,3031,bool,alm,1,0,,,,,9# Pick up 진공 1 이상
97,L3032,L,3032,bool,alm,1,0,,,,,9# Pick up 파진공 1 이상
98,L3033,L,3033,bool,alm,1,0,,,,,9# Pick up 진공 2 이상
99,L3034,L,3034,bool,alm,1,0,,,,,9# Pick up 파진공 2 이상
100,L3035,L,3035,bool,alm,1,0,,,,,9# 제품 놓는 회전 1 실린더 이상
101,L3036,L,3036,bool,alm,1,0,,,,,9# 제품 놓는 회전 2 실린더 이상
102,L3037,L,3037,bool,alm,1,0,,,,,9# 제품 놓는 그립퍼 1 실린더 이상
103,L3038,L,3038,bool,alm,1,0,,,,,9# 제품 놓는 그립퍼 2 실린더 이상
104,L3039,L,3039,bool,alm,1,0,,,,,9# 지그 실행  실린더 이상
105,L3040,L,3040,bool,alm,1,0,,,,,10# 아래로 누르는 실린더 이상
106,L3041,L,3041,bool,alm,1,0,,,,,10# 상하 검출 실린더 이상
107,L3042,L,3042,bool,alm,1,0,,,,,13# 위치 이동 실린더 이상
108,L3043,L,3043,bool,alm,1,0,,,,,13#CCD 이상
109,L3044,L,3044,bool,alm,1,0,,,,,14# 지그 실행  실린더 이상
110,L3045,L,3045,bool,alm,1,0,,,,,14# Pick up 회전 실린더 이상
111,L3046,L,3046,bool,alm,1,0,,,,,14# Pick up 그립퍼 1 이상
112,L3047,L,3047,bool,alm,1,0,,,,,14# Pick up 그립퍼 2 이상
113,L3048,L,3048,bool,alm,1,0,,,,,14# 제품 놓는 상하 실린더 이상
114,L3049,L,3049,bool,alm,1,0,,,,,14# 제품 놓는 그립퍼 1 이상
115,L3050,L,3050,bool,alm,1,0,,,,,14# 제품 놓는 그립퍼 2 이상
116,L3051,L,3051,bool,alm,1,0,,,,,14# 중계 회전 1 실린더 이상
117,L3052,L,3052,bool,alm,1,0,,,,,14# 중계 회전 2 실린더 이상
118,L3053,L,3053,bool,alm,1,0,,,,,14# 위치교환 실린더 이상
119,L3054,L,3054,bool,alm,1,0,,,,,14# 제품 밀어내는 실린더 이상
120,L3055,L,3055,bool,alm,1,0,,,,,14# 제품 가르는 실린더 이상
121,L3057,L,3057,bool,alm,1,0,,,,,5# 중계 위치 교환 2 이상
122,L3058,L,3058,bool,alm,1,0,,,,,15# 지그 실행  실린더 이상
123,L3059,L,3059,bool,alm,1,0,,,,,15#가로이동 실린더  이상
124,L3060,L,3060,bool,alm,1,0,,,,,15#상하 실린더  이상
125,L3061,L,3061,bool,alm,1,0,,,,,15#그립퍼 1
126,L3062,L,3062,bool,alm,1,0,,,,,15#그립퍼 2
127,L3063,L,3063,bool,alm,1,0,,,,,16#먼지 제거 상하 실린더  이상
128,L3064,L,3064,bool,alm,1,0,,,,,16#집진 블로우
129,L3067,L,3067,bool,alm,1,0,,,,,10#전 후 검사 실린더  이상
130,L660,L,660,bool,alm,1,0,,,,,설비 미 점검상태입니다 점검 바랍니다 !
131,L700,L,700,bool,alm,1,0,,,,,리셋  되지 않음
132,L701,L,701,bool,alm,1,0,,,,,1# 자재 Pick up 서보가 원점으로 돌아가지 않았습니다.
133,L702,L,702,bool,alm,1,0,,,,,3# 자재 Pick up 서보가 원점으로 돌아가지 않았습니다.
134,L703,L,703,bool,alm,1,0,,,,,5# 자재 Pick up 서보가 원점으로 돌아가지 않았습니다.
135,L704,L,704,bool,alm,1,0,,,,,9# 자재 Pick up 서보가 원점으로 돌아가지 않았습니다.
136,L705,L,705,bool,alm,1,0,,,,,11# 리벳팅 서보 원점으로 돌아가지 않았습니다.
137,L706,L,706,bool,alm,1,0,,,,,12# 자재 Pick up 서보가 원점으로 돌아가지 않았습니다.
138,L707,L,707,bool,alm,1,0,,,,,14# 자재 Pick up 서보가 원점으로 돌아가지 않았습니다.
139,L730,L,730,bool,alm,1,0,,,,,2# 연속 불량  검사바랍니다!
140,L731,L,731,bool,alm,1,0,,,,,4# 연속 불량  검사바랍니다!
141,L732,L,732,bool,alm,1,0,,,,,6# 연속 불량  검사바랍니다!
142,L733,L,733,bool,alm,1,0,,,,,8# 연속 불량  검사바랍니다!
143,L734,L,734,bool,alm,1,0,,,,,10# 연속 불량  검사바랍니다!
144,L735,L,735,bool,alm,1,0,,,,,13# CCD 타임지연!
145,L736,L,736,bool,alm,1,0,,,,,13#CCD 검사 연속 불량
146,L737,L,737,bool,alm,1,0,,,,,16# 잔류물이 검출되었으니 검사하시기 바랍니다!
147,L738,L,738,bool,alm,1,0,,,,,16# 지그가 제 위치에 미도착
148,L739,L,739,bool,alm,1,0,,,,,1#지그 높이가 맞지않음 검사하기 바랍니다
149,L740,L,740,bool,alm,1,0,,,,,11#리벳팅 지그가 제 위치에 미도착
150,L741,L,741,bool,alm,1,0,,,,,12#리벳팅 지그가 제 위치에 미도착
151,L742,L,742,bool,alm,1,0,,,,,15# 잔류물이 검출되었으니 검사하시기 바랍니다!
152,L780,L,780,bool,alm,1,0,,,,,14# 자재 배출 직진 피트 만재
153,L782,L,782,bool,alm,1,0,,,,,1#HOPPER 재료 부족!
154,L783,L,783,bool,alm,1,0,,,,,3#HOPPER 재료 부족!
155,L790,L,790,bool,alm,1,0,,,,,1#자재 부족
156,L791,L,791,bool,alm,1,0,,,,,3#자재 부족
157,L792,L,792,bool,alm,1,0,,,,,5#자재 부족
158,L793,L,793,bool,alm,1,0,,,,,9#자재 부족
159,L800,L,800,bool,alm,1,0,,,,,리셋 시간 초과
160,L801,L,801,bool,alm,1,0,,,,,턴테이블이 원점을 찾지 못해 알람이 울림
161,L802,L,802,bool,alm,1,0,,,,,턴테이블 조건 부족(일시정지/안전문/급 정지)
162,L803,L,803,bool,alm,1,0,,,,,ST1 턴테이블 조건이 부족합니다.
163,L804,L,804,bool,alm,1,0,,,,,ST2 턴테이블 조건이 부족합니다.
164,L805,L,805,bool,alm,1,0,,,,,ST3 턴테이블 조건이 부족합니다.
165,L806,L,806,bool,alm,1,0,,,,,ST4 턴테이블 조건이 부족합니다.
166,L807,L,807,bool,alm,1,0,,,,,ST5 턴테이블 조건이 부족합니다.
167,L808,L,808,bool,alm,1,0,,,,,ST6 턴테이블 조건이 부족합니다.
168,L809,L,809,bool,alm,1,0,,,,,ST7 턴테이블 조건이 부족합니다.
169,L810,L,810,bool,alm,1,0,,,,,ST8 턴테이블 조건이 부족합니다.
170,L811,L,811,bool,alm,1,0,,,,,ST9 턴테이블 조건이 부족합니다.
171,L812,L,812,bool,alm,1,0,,,,,ST10 턴테이블 조건이 부족합니다.
172,L813,L,813,bool,alm,1,0,,,,,ST11 턴테이블 조건이 부족합니다.
173,L814,L,814,bool,alm,1,0,,,,,ST12 턴테이블 조건이 부족합니다.
