tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,L2001,L,2001,bool,alm,1,0,,,,,건조로 배출 실린더(Long)수동 미환원
2,L2002,L,2002,bool,alm,1,0,,,,,건조로 배출 실린더(Short)수동 미환원
3,L2003,L,2003,bool,alm,1,0,,,,,자재 저정 상하 실린더 수동 미환원
4,L2004,L,2004,bool,alm,1,0,,,,,저장판 자재 저장 위치지정 실린더 1 수동 미환원
5,L2005,L,2005,bool,alm,1,0,,,,,저장판 자재 저장 위치지정 실린더 2 수동 미환원
6,L2006,L,2006,bool,alm,1,0,,,,,저장판 자재 배출 위치지정 실린더 1 수동 미환원
7,L2007,L,2007,bool,alm,1,0,,,,,저장판 자재 배출 위치지정 실린더 2 수동 미환원
8,L2008,L,2008,bool,alm,1,0,,,,,저장판 자제 이송 실린더 수동 미환원
9,L2009,L,2009,bool,alm,1,0,,,,,중계분활 실린더 수동 미환원
10,L2010,L,2010,bool,alm,1,0,,,,,중계회전 실린더 수동 미환원
11,L2011,L,2011,bool,alm,1,0,,,,,중계자재 밀기 실린더 수동 미환원
12,L2012,L,2012,bool,alm,1,0,,,,,건조로 배출 상하 실린더 수동 미환원
13,L2013,L,2013,bool,alm,1,0,,,,,배출 배플 상하 실린더 수동 미환원
14,L2014,L,2014,bool,alm,1,0,,,,,벨트 클립 실린더 수동 미환원
15,L3001,L,3001,bool,alm,1,0,,,,,건조로 자재 배출 실린더 (Long)이상
16,L3002,L,3002,bool,alm,1,0,,,,,건조로 자재 배출 실린더 (Short)이상
17,L3003,L,3003,bool,alm,1,0,,,,,자저저장 상하 실린더 이상
18,L3004,L,3004,bool,alm,1,0,,,,,저장판 자재 저장 위치 지정 실린더 1 이상
19,L3005,L,3005,bool,alm,1,0,,,,,저장판 자재 저장 위치 지정 실린더 2 이상
20,L3006,L,3006,bool,alm,1,0,,,,,저장판 자재 배출 위치 지정 실린더 1 이상
21,L3007,L,3007,bool,alm,1,0,,,,,저장판 자재 배출 위치 지정 실린더 2 이상
22,L3008,L,3008,bool,alm,1,0,,,,,저장판 자재 이송 실린더 이상
23,L3009,L,3009,bool,alm,1,0,,,,,중계분활 실린더 이상
24,L3010,L,3010,bool,alm,1,0,,,,,중계회전 실린더 이상
25,L3011,L,3011,bool,alm,1,0,,,,,중계자재 밀기 실린더 이상
26,L3012,L,3012,bool,alm,1,0,,,,,건조로 자재 배출 상하 실린더 이상
27,L3013,L,3013,bool,alm,1,0,,,,,아웃풋 댐퍼 상하 실린더 이상
28,L3014,L,3014,bool,alm,1,0,,,,,벨트 클립 실린더 이상
29,L700,L,700,bool,alm,1,0,,,,,리셋  되지 않음
30,L701,L,701,bool,alm,1,0,,,,,자재 저장 서보가 원점으로 돌아가지 않았습니다.
31,L702,L,702,bool,alm,1,0,,,,,자재 배출 서보가 원점으로 돌아가지 않았습니다.
32,L705,L,705,bool,alm,1,0,,,,,건조로 배출 벨트 자재 걸림
33,L780,L,780,bool,alm,1,0,,,,,1#건조로 제품 도착하기를 기다립니다
34,L781,L,781,bool,alm,1,0,,,,,1#컨베이어가 제품이 흘러가기를 기다립니다
35,L782,L,782,bool,alm,1,0,,,,,2#컨베이어 만재되기를 기다립니다
36,L783,L,783,bool,alm,1,0,,,,,ST2저장판 자재 이송 실린더가 위치 도착하기를 기다립니다
37,L784,L,784,bool,alm,1,0,,,,,C판 자재 배춘 만재
38,L785,L,785,bool,alm,1,0,,,,,ST3제품이 제위치 밀되기를 기다립니다
39,L786,L,786,bool,alm,1,0,,,,,ST3중계 자재 배출 만재
40,L787,L,787,bool,alm,1,0,,,,,저장판 자재 저장 만재
41,L800,L,800,bool,alm,1,0,,,,,리셋 시간 초과
42,L823,L,823,bool,alm,1,0,,,,,위치 결정 모듈 1 고장
43,L824,L,824,bool,alm,1,0,,,,,위치 결정 모듈 2 고장
44,L825,L,825,bool,alm,1,0,,,,,위치 결정 모듈 3 고장
45,L826,L,826,bool,alm,1,0,,,,,위치 결정 모듈 4 고장
46,L827,L,827,bool,alm,1,0,,,,,위치 결정 모듈 5 고장
47,L828,L,828,bool,alm,1,0,,,,,위치 결정 모듈 6 고장
48,L829,L,829,bool,alm,1,0,,,,,위치 결정 모듈 7 고장
49,L830,L,830,bool,alm,1,0,,,,,ST0 유닛 복귀 시간 초과
50,L831,L,831,bool,alm,1,0,,,,,ST1 유닛 복귀 시간 초과
51,L832,L,832,bool,alm,1,0,,,,,ST2 유닛 복귀 시간 초과
52,L833,L,833,bool,alm,1,0,,,,,ST3 유닛 복귀 시간 초과
53,L860,L,860,bool,alm,1,0,,,,,저기압 알람
54,L861,L,861,bool,alm,1,0,,,,,자재 저정 서보 알람
55,L862,L,862,bool,alm,1,0,,,,,자재 배출 서보 알람
56,L881,L,881,bool,alm,1,0,,,,,자재 저장 서보 마이너스 리미트 이상
57,L882,L,882,bool,alm,1,0,,,,,자재 배출 서보 마이너스 리미트 이상
58,L901,L,901,bool,alm,1,0,,,,,자재 저장 서보 플러스 리미트 이상
59,L902,L,902,bool,alm,1,0,,,,,자재 배출 서보 플러스 리미트 이상
60,L991,L,991,bool,alm,1,0,,,,,급정지가 눌러져 있음
61,L992,L,992,bool,alm,1,0,,,,,일시정지 버튼이 눌려져 있음
62,L993,L,993,bool,alm,1,0,,,,,안전문이 이미 열렸습니다.
63,L994,L,994,bool,alm,1,0,,,,,에어 공급원  열리지 않음
64,D200,D,200,uint32,plc_data,1,0,,8,,,생산수량
65,D202,D,202,uint32,plc_data,1,0,,8,,,OK 수량_PCS
66,D204,D,204,uint32,plc_data,1,0,,8,,,NG 수량_PCS
67,D206,D,206,float32,plc_data,1,0,2,,,,합격률
68,D208,D,208,float32,plc_data,1,0,2,,,,불량률
69,D210,D,210,uint32,plc_data,1,0,,10,,,총 생산수
70,D212,D,212,int16,plc_data,1,0,,2,,,실시간 효율_PCS
71,D214,D,214,int16,plc_data,1,0,,2,,,분 효율_PCS
72,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
1000,Y401,Y,1025,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,1026,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,1027,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,1028,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,1029,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,1030,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,1031,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,1032,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,1033,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40A,Y,1034,bool,plc_data,1,0,,,,,잔여물 처리 표시등
1010,Y40C,Y,1036,bool,plc_data,1,0,,,,,TL_RED
1011,Y40D,Y,1037,bool,plc_data,1,0,,,,,TL_Green
1012,Y40E,Y,1038,bool,plc_data,1,0,,,,,TL_Yellow
1013,D360,D,360,uint32,log,1,0,0,,,,Number/h
1014,D362,D,362,uint32,log,1,0,0,,,,OK_Number/h
1015,D364,D,364,uint32,log,1,0,0,,,,NG_Number/h
1016,D366,D,366,float32,log,1,0,2,,,,OK/%
1017,D368,D,368,float32,log,1,0,2,,,,NG/%
1018,M188,M,188,bool,log,1,0,,,,,Log3(D360-D368)
