tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,L2001,L,2001,bool,alm,1,0,,,,,1#위치 분활 실린더 수동 미환원
2,L2002,L,2002,bool,alm,1,0,,,,,1#자재 밀기 실린더 수동 미환원
3,L2003,L,2003,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 수동 미환원
4,L2004,L,2004,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 수동 미환원
5,L2005,L,2005,bool,alm,1,0,,,,,3#납 면 감지 상하 실린더 수동 미환원
6,L2006,L,2006,bool,alm,1,0,,,,,자재 투입 서보 상하 실린더 수동 미환원
7,L2007,L,2007,bool,alm,1,0,,,,,자재 피킹 서보 전후 실린더 수동 미환원
8,L2008,L,2008,bool,alm,1,0,,,,,4#리벳팅 상하 실린더 수동 미환원
9,L2009,L,2009,bool,alm,1,0,,,,,2#FLUX 실린더 수동미환원
10,L3001,L,3001,bool,alm,1,0,,,,,1# 위치 분활 실린더 이상
11,L3002,L,3002,bool,alm,1,0,,,,,1# 자재 밀어내기 실린더 이상
12,L3003,L,3003,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 이상
13,L3004,L,3004,bool,alm,1,0,,,,,3#납 뽑기 전후 실린더 이상
14,L3005,L,3005,bool,alm,1,0,,,,,3#납 면 감지 상하 실린더 이상
15,L3006,L,3006,bool,alm,1,0,,,,,자재 투입 서보 상하 실린더 이상
16,L3007,L,3007,bool,alm,1,0,,,,,자재 피킹서보 전후 실린더 이상
17,L3008,L,3008,bool,alm,1,0,,,,,4#리벳팅 상하실린더 이상
18,L3009,L,3009,bool,alm,1,0,,,,,2#FLUX 실린더 이상
19,L700,L,700,bool,alm,1,0,,,,,리셋  되지 않음
20,L701,L,701,bool,alm,1,0,,,,,3#상하 서보 1 원점으로 돌아가지 않았습니다
21,L702,L,702,bool,alm,1,0,,,,,3#상하 서보 2 원점으로 돌아가지 않았습니다
22,L703,L,703,bool,alm,1,0,,,,,4#상하 서보 1 원점으로 돌아가지 않았습니다
23,L711,L,711,bool,alm,1,0,,,,,건조기 히터 1 단선
24,L712,L,712,bool,alm,1,0,,,,,건조기 히터 2 단선
25,L713,L,713,bool,alm,1,0,,,,,건조기 히터 3 단선
26,L714,L,714,bool,alm,1,0,,,,,건조기 히터 4 단선
27,L715,L,715,bool,alm,1,0,,,,,건조기 히터5 단선
28,L716,L,716,bool,alm,1,0,,,,,건조기 히터 6 단선
29,L717,L,717,bool,alm,1,0,,,,,건조기 히터 7 단선
30,L718,L,718,bool,alm,1,0,,,,,건조기 히터 8 단선
31,L721,L,721,bool,alm,1,0,,,,,안전문 1 열림
32,L722,L,722,bool,alm,1,0,,,,,안전문 2 열림
33,L723,L,723,bool,alm,1,0,,,,,안전문 3 열림
34,L724,L,724,bool,alm,1,0,,,,,안전문 4 열림
35,L725,L,725,bool,alm,1,0,,,,,안전문 5 열림
36,L726,L,726,bool,alm,1,0,,,,,안전문 6 열림
37,L730,L,730,bool,alm,1,0,,,,,4#출고직진척
38,L731,L,731,bool,alm,1,0,,,,,핫 리벳 히터 1 단선
39,L732,L,732,bool,alm,1,0,,,,,핫 리벳 히터 2 단선
40,L733,L,733,bool,alm,1,0,,,,,핫 리벳 히터 3 단선
41,L734,L,734,bool,alm,1,0,,,,,핫 리벳 히터 4 단선
42,L735,L,735,bool,alm,1,0,,,,,핫 리벳 히터 5 단선
43,L736,L,736,bool,alm,1,0,,,,,핫 리벳 히터 6 단선
44,L780,L,780,bool,alm,1,0,,,,,1#자재 도착하기를 기다립니다
45,L781,L,781,bool,alm,1,0,,,,,1#자재 만재 되기를 기다립니다
46,L782,L,782,bool,alm,1,0,,,,,2#자재 제 위치에 도착하기를 기다립니다
47,L783,L,783,bool,alm,1,0,,,,,2#모타 회전 신호를 찾지 못합니다
48,L784,L,784,bool,alm,1,0,,,,,3#납 추가중입니다
49,L785,L,785,bool,alm,1,0,,,,,3#납 추가 시간 초과하였습니다
50,L786,L,786,bool,alm,1,0,,,,,2#FLUX가 부적합니다 추가해 주십시요
51,L787,L,787,bool,alm,1,0,,,,,4#온도 도달하기를 기다립니다
52,L788,L,788,bool,alm,1,0,,,,,4#온도 너무 놉습니다
53,L789,L,789,bool,alm,1,0,,,,,4#자재 피킹 이미 만재 되였습니다
54,L790,L,790,bool,alm,1,0,,,,,1#자재 부족
55,L792,L,792,bool,alm,1,0,,,,,3#온도 도달하기를 기다립니다
56,L793,L,793,bool,alm,1,0,,,,,3#온도 너무 놉습니다
57,L800,L,800,bool,alm,1,0,,,,,리셋 시간 초과
58,L823,L,823,bool,alm,1,0,,,,,위치 결정 모듈 1 고장
59,L824,L,824,bool,alm,1,0,,,,,위치 결정 모듈 2 고장
60,L825,L,825,bool,alm,1,0,,,,,위치 결정 모듈 3 고장
61,L826,L,826,bool,alm,1,0,,,,,위치 결정 모듈 4 고장
62,L827,L,827,bool,alm,1,0,,,,,위치 결정 모듈 5 고장
63,L828,L,828,bool,alm,1,0,,,,,위치 결정 모듈 6 고장
64,L829,L,829,bool,alm,1,0,,,,,위치 결정 모듈 7 고장
65,L830,L,830,bool,alm,1,0,,,,,ST0 유닛 복귀 시간 초과
66,L831,L,831,bool,alm,1,0,,,,,ST1 유닛 복귀 시간 초과
67,L832,L,832,bool,alm,1,0,,,,,ST2 유닛 복귀 시간 초과
68,L833,L,833,bool,alm,1,0,,,,,ST3 유닛 복귀 시간 초과
69,L834,L,834,bool,alm,1,0,,,,,ST4 유닛 복귀 시간 초과
70,L840,L,840,bool,alm,1,0,,,,,열리벳 공정에서 완료하지 않았습니다
71,L860,L,860,bool,alm,1,0,,,,,저기압 알람
72,L861,L,861,bool,alm,1,0,,,,,자재 투입 좌우 서보 알람
73,L862,L,862,bool,alm,1,0,,,,,자재 투입 상하 서보 알람
74,L863,L,863,bool,alm,1,0,,,,,자재 피킹 서보 알람
75,L881,L,881,bool,alm,1,0,,,,,자재 투입 좌우 서보 마이너스 리미트 이상
76,L882,L,882,bool,alm,1,0,,,,,자재 투입 상하 서보 마이너스 리미트 이상
77,L883,L,883,bool,alm,1,0,,,,,자재 피킹 서보 마이너스 리미트 이상
78,L901,L,901,bool,alm,1,0,,,,,자재 투입 좌우 서보 플러스 리미트 이상
79,L902,L,902,bool,alm,1,0,,,,,자재 투입 상하 서보 플러스 리미트 이상
80,L903,L,903,bool,alm,1,0,,,,,자재 피킹 서보 플러스 리미트 이상
81,L991,L,991,bool,alm,1,0,,,,,급정지가 눌러져 있음
82,L992,L,992,bool,alm,1,0,,,,,일시정지 버튼이 눌려져 있음
83,L993,L,993,bool,alm,1,0,,,,,안전문이 이미 열렸습니다.
84,L994,L,994,bool,alm,1,0,,,,,에어 공급원  열리지 않음
85,D200,D,200,uint32,plc_data,1,0,,8,,,생산수량
86,D202,D,202,uint32,plc_data,1,0,,8,,,OK 수량_PCS
87,D204,D,204,uint32,plc_data,1,0,,8,,,NG 수량_PCS
88,D206,D,206,float32,plc_data,1,0,2,,,,합격률
89,D208,D,208,float32,plc_data,1,0,2,,,,불량률
90,D210,D,210,uint32,plc_data,1,0,,10,,,총 생산수
91,D212,D,212,int16,plc_data,1,0,,2,,,실시간 효율_PCS
92,D214,D,214,int16,plc_data,1,0,,2,,,분 효율_PCS
93,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
1000,Y401,Y,1025,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,1026,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,1027,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,1028,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,1029,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,1030,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,1031,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,1032,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,1033,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40A,Y,1034,bool,plc_data,1,0,,,,,잔여물 처리 표시등
1010,Y40C,Y,1036,bool,plc_data,1,0,,,,,TL_RED
1011,Y40D,Y,1037,bool,plc_data,1,0,,,,,TL_Green
1012,Y40E,Y,1038,bool,plc_data,1,0,,,,,TL_Yellow
1013,D360,D,360,uint32,log,1,0,0,,,,Number/h
1014,D362,D,362,uint32,log,1,0,0,,,,OK_Number/h
1015,D364,D,364,uint32,log,1,0,0,,,,NG_Number/h
1016,D366,D,366,float32,log,1,0,2,,,,OK/%
1017,D368,D,368,float32,log,1,0,2,,,,NG/%
1018,M188,M,188,bool,log,1,0,,,,,Log3(D360-D368)
