tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,D0,D,0,uint16,fast,1,0,,,,,실린더 선택번호
2,D200,D,200,uint32,fast,1,0,,8,,,총 개수
3,D202,D,202,uint32,fast,1,0,,8,,,좋은 제품 수
4,D204,D,204,uint32,fast,1,0,,8,,,잘못된 카운트
5,D206,D,206,float32,fast,1,0,2,,,,자격률
6,D208,D,208,float32,fast,1,0,2,,,,불량률
7,D210,D,210,uint32,fast,1,0,,8,,,누적 합계
8,D212,D,212,int16,fast,1,0,,2,,,실시간 효율성
9,D214,D,214,int16,fast,1,0,,2,,,분 효율성
10,D216,D,216,uint32,fast,0.1,0,,5,,,사이클 시간
11,D230,D,230,uint32,fast,1,0,,,,,2#번 설정
12,D234,D,234,uint16,fast,1,0,,,,,2#반복 테스트 횟수 NG
13,D238,D,238,uint16,fast,0.01,0,,,,,2#ON 지연
14,D240,D,240,uint16,fast,0.01,0,,,,,2#OFF 지연
15,D250,D,250,uint32,fast,0.01,0,,,,,2# 제품 1 테스트 결과
16,D252,D,252,uint32,fast,0.01,0,,,,,2# 제품 2 테스트 결과
17,D254,D,254,uint32,fast,0.01,0,,,,,2# 제품 3 테스트 결과
18,D256,D,256,uint32,fast,0.01,0,,,,,2# 제품 4 테스트 결과
19,D258,D,258,uint32,fast,0.01,0,,,,,2# 제품 5 테스트 결과
20,D260,D,260,uint32,fast,0.01,0,,,,,2# 제품 6 테스트 결과
21,D262,D,262,uint32,fast,0.01,0,,,,,2# 제품 7 테스트 결과
22,D264,D,264,uint32,fast,0.01,0,,,,,2# 제품 8 테스트 결과
23,D266,D,266,uint32,fast,0.01,0,,,,,2# 제품 9 테스트 결과
24,D268,D,268,uint32,fast,0.01,0,,,,,2# 제품 10 테스트 결과
25,D270,D,270,uint32,fast,0.01,0,,,,,2# 제품 11 테스트 결과
26,D272,D,272,uint32,fast,0.01,0,,,,,2# 제품 12 테스트 결과
27,D274,D,274,uint32,fast,0.01,0,,,,,2# 제품 13 테스트 결과
28,D276,D,276,uint32,fast,0.01,0,,,,,2# 제품 14 테스트 결과
29,D278,D,278,uint32,fast,0.01,0,,,,,2# 제품 15 테스트 결과
30,D280,D,280,uint16,fast,1,0,,5,,,2# 제품 1OK 수량
31,D282,D,282,uint16,fast,1,0,,4,,,2# 제품 1NG 수량
32,D284,D,284,uint16,fast,1,0,,1,,,2# 제품 2OK 수량
33,D286,D,286,uint16,fast,1,0,,4,,,2# 제품 2NG 수량
34,D288,D,288,uint16,fast,1,0,,5,,,2# 제품 3OK 수량
35,D290,D,290,uint16,fast,1,0,,4,,,2# 제품 3NG 수량
36,D292,D,292,uint16,fast,1,0,,5,,,2# 제품 4OK 수량
37,D294,D,294,uint16,fast,1,0,,4,,,2# 제품 4NG 수량
38,D296,D,296,uint16,fast,1,0,,5,,,2# 제품 5OK 수량
39,D298,D,298,uint16,fast,1,0,,4,,,2# 제품 5NG 수량
40,D300,D,300,uint16,fast,1,0,,5,,,2# 제품 6OK 수량
41,D302,D,302,uint16,fast,1,0,,4,,,2# 제품 6NG 수량
42,D304,D,304,uint16,fast,1,0,,5,,,2# 제품 7OK 수량
43,D306,D,306,uint16,fast,1,0,,4,,,2# 제품 7NG 수량
44,D308,D,308,uint16,fast,1,0,,5,,,2# 제품 8OK 수량
45,D310,D,310,uint16,fast,1,0,,4,,,2# 제품 8NG 수량
46,D312,D,312,uint16,fast,1,0,,5,,,2# 제품 9OK 수량
47,D314,D,314,uint16,fast,1,0,,4,,,2# 제품 9NG 수량
48,D316,D,316,uint16,fast,1,0,,5,,,2# 제품 10OK 수량
49,D318,D,318,uint16,fast,1,0,,4,,,2# 제품 10NG 수량
50,D320,D,320,uint16,fast,1,0,,5,,,2# 제품 11OK 수량
51,D322,D,322,uint16,fast,1,0,,4,,,2# 제품 11NG 수량
52,D324,D,324,uint16,fast,1,0,,5,,,2# 제품 12OK 수량
53,D326,D,326,uint16,fast,1,0,,4,,,2# 제품 12NG 수량
54,D328,D,328,uint16,fast,1,0,,5,,,2# 제품 13OK 수량
55,D330,D,330,uint16,fast,1,0,,4,,,2# 제품 13NG 수량
56,D332,D,332,uint16,fast,1,0,,5,,,2# 제품 14OK 수량
57,D334,D,334,uint16,fast,1,0,,4,,,2# 제품 14NG 수량
58,D336,D,336,uint16,fast,1,0,,5,,,2# 제품 15OK 수량
59,D338,D,338,uint16,fast,1,0,,4,,,2# 제품 15NG 수량
60,D360,D,360,int32,log,1,0,,,,,시간별 총 출력 로그 저장
61,D362,D,362,int32,log,1,0,,,,,시간별 OK 출력 로그가 저장되었습니다.
62,D364,D,364,int32,log,1,0,,,,,시간별 NG 생산 로그 저장
63,D366,D,366,int32,log,1,0,,,,,시간당 합격률 로그 저장
64,D368,D,368,int32,log,1,0,,,,,시간별 불량률 로그 저장
65,D400,D,400,uint32,fast,0.01,0,,,,,7#CCD 결과물 1
66,D402,D,402,uint32,fast,0.01,0,,,,,7#CCD 결과물 2
67,D404,D,404,uint32,fast,0.01,0,,,,,7#CCD 결과물 3
68,D406,D,406,uint32,fast,0.01,0,,,,,7#CCD 결과물 4
69,D410,D,410,uint32,fast,1,0,,6,,,7#CCD_OK수량 1
70,D412,D,412,uint32,fast,1,0,,6,,,7#CCD_NG 수량 1
71,D414,D,414,uint32,fast,1,0,,6,,,7#CCD_OK수량 2
72,D416,D,416,uint32,fast,1,0,,6,,,7#CCD_NG 수량 2
73,D418,D,418,uint32,fast,1,0,,6,,,7#CCD_OK수량 3
74,D420,D,420,uint32,fast,1,0,,6,,,7#CCD_NG 수량 3
75,D422,D,422,uint32,fast,1,0,,6,,,7#CCD_OK수량 4
76,D424,D,424,uint32,fast,1,0,,6,,,7#CCD_NG 수량 4
77,D700,D,700,uint32,fast,1,0,,3,,,2#제품 1ON회-L
78,D702,D,702,uint32,fast,1,0,,3,,,2# 제품 1ON 회-R
79,D704,D,704,uint32,fast,1,0,,3,,,2#제품 2ON회-L
80,D706,D,706,uint32,fast,1,0,,3,,,2# 제품 2ON 회-R
81,D708,D,708,uint32,fast,1,0,,3,,,2# 제품 3ON 회-L
82,D710,D,710,uint32,fast,1,0,,3,,,2# 제품 3ON 회-R
83,D712,D,712,uint32,fast,1,0,,3,,,2#제품 4ON회-L
84,D714,D,714,uint32,fast,1,0,,3,,,2# 제품 4ON 회-R
85,D716,D,716,uint32,fast,1,0,,3,,,2#제품 5ON회-L
86,D718,D,718,uint32,fast,1,0,,3,,,2# 제품 5ON 회-R
87,D720,D,720,uint32,fast,1,0,,3,,,2#제품 6ON회-L
88,D722,D,722,uint32,fast,1,0,,3,,,2# 제품 6ON 회-R
89,D724,D,724,uint32,fast,1,0,,3,,,2#제품 7ON회-L
90,D726,D,726,uint32,fast,1,0,,3,,,2# 제품 7ON 회-R
91,D728,D,728,uint32,fast,1,0,,3,,,2#제품 8ON회-L
92,D730,D,730,uint32,fast,1,0,,3,,,2# 제품 8ON 회-R
93,D732,D,732,uint32,fast,1,0,,3,,,2#제품 9ON회-L
94,D734,D,734,uint32,fast,1,0,,3,,,2# 제품 9ON배-R
95,D736,D,736,uint32,fast,1,0,,3,,,2#제품 10ON회-L
96,D738,D,738,uint32,fast,1,0,,3,,,2# 제품 10ON 회-R
97,D740,D,740,uint32,fast,1,0,,3,,,2#제품 11ON회-L
98,D742,D,742,uint32,fast,1,0,,3,,,2# 제품 11ON 회-R
99,D744,D,744,uint32,fast,1,0,,3,,,2#제품 12ON회-L
100,D746,D,746,uint32,fast,1,0,,3,,,2# 제품 12ON 회-R
101,D748,D,748,uint32,fast,1,0,,3,,,2#제품 13ON회-L
102,D750,D,750,uint32,fast,1,0,,3,,,2# 제품 13ON 회-R
103,D752,D,752,uint32,fast,1,0,,3,,,2#제품 14ON회-L
104,D754,D,754,uint32,fast,1,0,,3,,,2# 제품 14ON 회-R
105,D756,D,756,uint32,fast,1,0,,3,,,2# 제품 15ON 회-L
106,D758,D,758,uint32,fast,1,0,,3,,,2# 제품 15ON 회-R
107,D800,D,800,uint32,fast,1,0,,3,,,2#제품 1OFF회-L
108,D802,D,802,uint32,fast,1,0,,3,,,2# 제품 1OFF 회-R
109,D804,D,804,uint32,fast,1,0,,3,,,2#제품 2OFF회-L
110,D806,D,806,uint32,fast,1,0,,3,,,2# 제품 2OFF 횟수-R
111,D808,D,808,uint32,fast,1,0,,3,,,2#제품 3OFF회-L
112,D810,D,810,uint32,fast,1,0,,3,,,2# 제품 3OFF 횟수-R
113,D812,D,812,uint32,fast,1,0,,3,,,2#제품 4OFF회-L
