tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,L2001,L,2001,bool,alm,1,0,,,,,0#(피킹)피더 실린더 수동 미환원
2,L2002,L,2002,bool,alm,1,0,,,,,0#(피킹) 피드 전후 실린더 수동 미환원
3,L2003,L,2003,bool,alm,1,0,,,,,1# (재료투입구)푸셔 실린더 수동 미환원
4,L2004,L,2004,bool,alm,1,0,,,,,1# (재료투입구)댐퍼 실린더 수동 미환원
5,L2005,L,2005,bool,alm,1,0,,,,,2#(단자휨검사)상하 실린더 수동 미환원
6,L2006,L,2006,bool,alm,1,0,,,,,3#(케이스 범프 검사)상하 실린더 수동 미환원
7,L2007,L,2007,bool,alm,1,0,,,,,4#(NG원단)댐퍼 실린더 수동 미환원
8,L2008,L,2008,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 1 수동 미환원
9,L2009,L,2009,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 2 수동 미환원
10,L2010,L,2010,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 3 수동 미환원
11,L2011,L,2011,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 4 수동 미환원
12,L2012,L,2012,bool,alm,1,0,,,,,5#(완성품출하)푸셔 실린더 수동 미환원
13,L2013,L,2013,bool,alm,1,0,,,,,5#(완성품출하)배출 좌우 실린더 수동 미환원
14,L2014,L,2014,bool,alm,1,0,,,,,5#(완성품출하)배출 전후 실린더 수동 미환원
15,L2015,L,2015,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱 고정 실린더 1 수동 미환원
16,L2016,L,2016,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱고정 실린더 2 수동 미환원
17,L2017,L,2017,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱  피더 상하 실린더 수동 미환원
18,L2018,L,2018,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱  피더 좌우 실린더 수동 미환원
19,L2019,L,2019,bool,alm,1,0,,,,,6#(빈스틱이송)피드 스틱 고정 실린더 1 수동 미환원
20,L2020,L,2020,bool,alm,1,0,,,,,6#(빈스틱이송)피드 스틱고정 실린더 2 수동 미환원
21,L2021,L,2021,bool,alm,1,0,,,,,5#(완성품출하)하부 스토퍼 실린더 수동 미환원
22,L2022,L,2022,bool,alm,1,0,,,,,7#(파이프피더)피펫 상하 실린더 수동 미환원
23,L2036,L,2036,bool,alm,1,0,,,,,8#(원료공급)피더 실린더 수동 미환원
24,L2037,L,2037,bool,alm,1,0,,,,,8#(원료공급)가로이동실린더 수동 미환원
25,L2038,L,2038,bool,alm,1,0,,,,,8#(원료공급)상하 실린더 수동 미환원
26,L2039,L,2039,bool,alm,1,0,,,,,8#(원료공급)회전 실린더 수동 미환원
27,L2040,L,2040,bool,alm,1,0,,,,,8#(원료공급)클립 실린더 수동 미환원
28,L2050,L,2050,bool,alm,1,0,,,,,4#(NG원단)서보 상하 실린더 수동 미환원
29,L2051,L,2051,bool,alm,1,0,,,,,4#(NG원단)핀 NG 푸시 실린더 수동 미환원
30,L2052,L,2052,bool,alm,1,0,,,,,4#(NG원단)범프 NG 푸시 실린더 수동 미환원
31,L3001,L,3001,bool,alm,1,0,,,,,0#(피킹)피킹 실린더 이상
32,L3002,L,3002,bool,alm,1,0,,,,,0#(피킹)피드 전후 실린더 이상
33,L3003,L,3003,bool,alm,1,0,,,,,1#(재료투입구)푸셔 실린더 이상
34,L3004,L,3004,bool,alm,1,0,,,,,1#(재료투입구)플랩 실린더 이상
35,L3005,L,3005,bool,alm,1,0,,,,,2#(단자휨검사)상하 실린더 이상
36,L3006,L,3006,bool,alm,1,0,,,,,3#(케이스 범프 검사)상하 실린더 이상
37,L3007,L,3007,bool,alm,1,0,,,,,4#(NG원단)플랩 실린더 이상
38,L3008,L,3008,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 1 이상
39,L3009,L,3009,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 2 이상
40,L3010,L,3010,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 3 이상
41,L3011,L,3011,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 4 이상
42,L3012,L,3012,bool,alm,1,0,,,,,5#(완성품출하)푸셔 실린더 이상
43,L3013,L,3013,bool,alm,1,0,,,,,5#(완성품출하)하재 좌우 실린더 이상
44,L3014,L,3014,bool,alm,1,0,,,,,5#(완성품출하)하단 전후 실린더 이상
45,L3015,L,3015,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱 고정 실린더 1 이상
46,L3016,L,3016,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱  고정 실린더 2 이상
47,L3017,L,3017,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱 피더 상하 실린더 이상
48,L3018,L,3018,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱 피더  이송 좌우 실린더 이상
49,L3019,L,3019,bool,alm,1,0,,,,,6#(빈스틱이송)자재 투입 스틱  고정 실린더 1 이상
50,L3020,L,3020,bool,alm,1,0,,,,,6#(빈스틱이송)자재 투입 스틱  고정 실린더 2 이상
51,L3021,L,3021,bool,alm,1,0,,,,,5#(완성품출하)하부 스토퍼 실린더 이상
52,L3022,L,3022,bool,alm,1,0,,,,,7#(파이프피더)빨대 상하 실린더 이상
53,L3036,L,3036,bool,alm,1,0,,,,,8#(원료공급)피킹 실린더 이상
54,L3037,L,3037,bool,alm,1,0,,,,,8#(원료공급)가로이동실린더 이상
55,L3038,L,3038,bool,alm,1,0,,,,,8#(원료공급)상하 실린더 이상
56,L3039,L,3039,bool,alm,1,0,,,,,8#(원료공급)회전 실린더 이상
57,L3040,L,3040,bool,alm,1,0,,,,,8#(원료공급)클립 실린더 이상
58,L3050,L,3050,bool,alm,1,0,,,,,4#(NG원단)서보 상하 실린더 이상
59,L3051,L,3051,bool,alm,1,0,,,,,4#(NG원단)스티치 NG 푸셔 실린더 이상
60,L3052,L,3052,bool,alm,1,0,,,,,4#(NG원단)범프 NG 푸셔 실린더 이상
61,L700,L,700,bool,alm,1,0,,,,,재설정되지 않음
62,L701,L,701,bool,alm,1,0,,,,,빈 스틱 상하 서보가 원점으로 돌아가지 않음
