tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
1,L2001,L,2001,bool,alm,1,0,,,,,0# 이온 송풍 전자 밸브 수동 미환원
2,L2002,L,2002,bool,alm,1,0,,,,,1#직진 피더 피킹 실린더 수동 미환원
3,L2003,L,2003,bool,alm,1,0,,,,,1#직진 피더 다운 실린더 수동 미환원
4,L2004,L,2004,bool,alm,1,0,,,,,1#직진 피더 미스 실린더 수동 미환원
5,L2005,L,2005,bool,alm,1,0,,,,,1# 실린더에 직진 미스매치 수동 미환원
6,L2006,L,2006,bool,alm,1,0,,,,,1# 상/하 실린더 수동 미환원
7,L2007,L,2007,bool,alm,1,0,,,,,1# 자재 투입 가로이동 실린더 수동 미환원
8,L2008,L,2008,bool,alm,1,0,,,,,1# 자재 투입 회 실린더 수동 미환원
9,L2009,L,2009,bool,alm,1,0,,,,,1# 자재 투입 그립퍼 수동 미환원
10,L2010,L,2010,bool,alm,1,0,,,,,2# 이온 송풍 전자 밸브 수동 미환원
11,L2011,L,2011,bool,alm,1,0,,,,,2# PIN 상하 실린더 수동 미환원
12,L2012,L,2012,bool,alm,1,0,,,,,2# 상하 실린더 수동 미환원
13,L2013,L,2013,bool,alm,1,0,,,,,2# 그립퍼 수동 미환원
14,L2014,L,2014,bool,alm,1,0,,,,,3# PIN 상하 실린더 수동 미환원
15,L2015,L,2015,bool,alm,1,0,,,,,3# 상하 실린더 수동 미환원
16,L2016,L,2016,bool,alm,1,0,,,,,3# 그립퍼 수동 미환원
17,L2017,L,2017,bool,alm,1,0,,,,,4# PIN 상하 실린더 수동 미환원
18,L2018,L,2018,bool,alm,1,0,,,,,4# 상하 실린더 수동 미환원
19,L2019,L,2019,bool,alm,1,0,,,,,4# 그립퍼 수동 미환원
20,L2020,L,2020,bool,alm,1,0,,,,,5# 상하 실린더 수동 미환원
21,L2021,L,2021,bool,alm,1,0,,,,,5# 그립퍼 수동 미환원
22,L2022,L,2022,bool,alm,1,0,,,,,5#검출 1 전후 실린더 수동 미환원
23,L2023,L,2023,bool,alm,1,0,,,,,5#검출 2 전후 실린더 수동 미환원
24,L2024,L,2024,bool,alm,1,0,,,,,5#검출 3 전후 실린더 수동 미환원
25,L2025,L,2025,bool,alm,1,0,,,,,5#검출 4 전후 실린더 수동 미환원
26,L2026,L,2026,bool,alm,1,0,,,,,6# 상하 실린더 수동 미환원
27,L2027,L,2027,bool,alm,1,0,,,,,6# 그립퍼 수동 미환원
28,L2028,L,2028,bool,alm,1,0,,,,,6#검출 1 전후 실린더 수동 미환원
29,L2029,L,2029,bool,alm,1,0,,,,,6#검출 2 전후 실린더 수동 미환원
30,L2030,L,2030,bool,alm,1,0,,,,,6#검출 3 전후 실린더 수동 미환원
31,L2031,L,2031,bool,alm,1,0,,,,,6#검출 4 전후 실린더 수동 미환원
32,L2032,L,2032,bool,alm,1,0,,,,,7# PIN 상하 실린더 수동 미환원
33,L2033,L,2033,bool,alm,1,0,,,,,7# 상하 실린더 수동 미환원
34,L2034,L,2034,bool,alm,1,0,,,,,7# 그립퍼 수동 미환원
35,L2035,L,2035,bool,alm,1,0,,,,,8# PIN 상하 실린더 수동 미환원
36,L2036,L,2036,bool,alm,1,0,,,,,8# 상하 실린더 수동 미환원
37,L2037,L,2037,bool,alm,1,0,,,,,8# 그립퍼 수동 미환원
38,L2038,L,2038,bool,alm,1,0,,,,,9# 상하 실린더 수동 미환원
39,L2039,L,2039,bool,alm,1,0,,,,,9#가로이동 실린더 수동 미환원
40,L2040,L,2040,bool,alm,1,0,,,,,9#회전 실린더 수동 미환원
41,L2041,L,2041,bool,alm,1,0,,,,,9#그립퍼 1 수동 미환원
42,L2042,L,2042,bool,alm,1,0,,,,,9#그립퍼 2 수동 미환원
43,L2043,L,2043,bool,alm,1,0,,,,,9#그립퍼 3 수동 미환원
44,L2044,L,2044,bool,alm,1,0,,,,,9#그립퍼 4 수동 미환원
45,L2045,L,2045,bool,alm,1,0,,,,,9#직진 피더 피킹 실린더 수동 미환원
46,L2046,L,2046,bool,alm,1,0,,,,,9#직진 피더 상하 실린더 수동 미환원
47,L2047,L,2047,bool,alm,1,0,,,,,9#직진 피더 자재 밀어내기 실린더 수동 미환원
48,L2049,L,2049,bool,alm,1,0,,,,,10#상하 실린더 수동 미환원
49,L2050,L,2050,bool,alm,1,0,,,,,10#그립퍼 1 수동 미환원
50,L2051,L,2051,bool,alm,1,0,,,,,10#그립퍼 2 수동 미환원
51,L2052,L,2052,bool,alm,1,0,,,,,10#그립퍼 3 수동 미환원
52,L2053,L,2053,bool,alm,1,0,,,,,10#그립퍼 4 수동 미환원
53,L2054,L,2054,bool,alm,1,0,,,,,10#자재 밀어내기 실린더 수동 미환원
54,L2055,L,2055,bool,alm,1,0,,,,,5# PIN 상하 실린더 수동 미환원
55,L2056,L,2056,bool,alm,1,0,,,,,6# PIN 상하 실린더 수동 미환원
56,L3001,L,3001,bool,alm,1,0,,,,,0# 이온 송풍 전자 밸브 이상
57,L3002,L,3002,bool,alm,1,0,,,,,1#직진 피더 피킹 실린더 이상
58,L3003,L,3003,bool,alm,1,0,,,,,1#직진 피더 다운 실린더 이상
