tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
181,D210,D,210,uint32,plc_data,1,0,,8,,,총 생산량
176,D200,D,200,uint32,plc_data,1,0,,8,,,생산수량
175,D1244,D,1244,float32,plc_data,1,0,1,,,,직행율
177,D1242,D,1242,uint32,plc_data,1,0,,8,,,OK 수량_PCS
178,D1258,D,1258,uint32,plc_data,1,0,,8,,,NG 수량_PCS
184,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
1000,Y401,Y,401,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,402,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,403,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,404,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,405,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,406,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,407,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,408,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,409,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40A,Y,40A,bool,plc_data,1,0,,,,,잔여물 처리 표시등
1010,Y40C,Y,40C,bool,tl_data,1,0,,,,,TL_RED
1011,Y40D,Y,40D,bool,tl_data,1,0,,,,,TL_Green
1012,Y40E,Y,40E,bool,tl_data,1,0,,,,,TL_Yellow
3000,M180,M,180,bool,log,1,0,,,,,Log1(R9500-R9842)
3001,R9514,R,9514,float32,log,1,0,1,,,,Coil_ST1
3002,R9522,R,9522,float32,log,1,0,1,,,,OP_L_ST1
3003,R9524,R,9524,float32,log,1,0,1,,,,OP_R_ST1
3004,R9528,R,9528,float32,log,1,0,1,,,,REL_L_ST1
3005,R9530,R,9530,float32,log,1,0,1,,,,REL_R_ST1
3006,R9534,R,9534,float32,log,1,0,0,,,,Time_ST1
3007,R9540,R,9540,float32,log,1,0,1,,,,R_L_ST1
3008,R9542,R,9542,float32,log,1,0,1,,,,R_R_ST1
3009,R9500,R,9500,string,log,1,0,,2,,,Sta_ST1
3010,R9614,R,9614,float32,log,1,0,1,,,,Coil_ST2
3011,R9622,R,9622,float32,log,1,0,1,,,,OP_L_ST2
3012,R9624,R,9624,float32,log,1,0,1,,,,OP_R_ST2
3013,R9628,R,9628,float32,log,1,0,1,,,,REL_L_ST2
3014,R9630,R,9630,float32,log,1,0,1,,,,REL_R_ST2
3015,R9634,R,9634,float32,log,1,0,0,,,,Time_ST2
3016,R9640,R,9640,float32,log,1,0,1,,,,R_L_ST2
3017,R9642,R,9642,float32,log,1,0,1,,,,R_R_ST2
3018,R9600,R,9600,string,log,1,0,,2,,,Sta_ST2
3019,R9714,R,9714,float32,log,1,0,1,,,,Coil_ST3
3020,R9722,R,9722,float32,log,1,0,1,,,,OP_L_ST3
3021,R9724,R,9724,float32,log,1,0,1,,,,OP_R_ST3
3022,R9728,R,9728,float32,log,1,0,1,,,,REL_L_ST3
3023,R9730,R,9730,float32,log,1,0,1,,,,REL_R_ST3
3024,R9734,R,9734,float32,log,1,0,0,,,,Time_ST3
3025,R9740,R,9740,float32,log,1,0,1,,,,R_L_ST3
3026,R9742,R,9742,float32,log,1,0,1,,,,R_R_ST3
3027,R9700,R,9700,string,log,1,0,,2,,,Sta_ST3
3028,R9814,R,9814,float32,log,1,0,1,,,,Coil_ST4
3029,R9822,R,9822,float32,log,1,0,1,,,,OP_L_ST4
3030,R9824,R,9824,float32,log,1,0,1,,,,OP_R_ST4
3031,R9828,R,9828,float32,log,1,0,1,,,,REL_L_ST4
3032,R9830,R,9830,float32,log,1,0,1,,,,REL_R_ST4
3033,R9834,R,9834,float32,log,1,0,0,,,,Time_ST4
3034,R9840,R,9840,float32,log,1,0,1,,,,R_L_ST4
3035,R9842,R,9842,float32,log,1,0,1,,,,R_R_ST4
3036,R9800,R,9800,string,log,1,0,,2,,,Sta_ST4
3037,M188,M,188,bool,log,1,0,,,,,Log3(D360-D368)
3038,D360,D,360,uint32,log,1,0,0,,,,Number/h
3039,D362,D,362,uint32,log,1,0,0,,,,OK_Number/h
3040,D364,D,364,uint32,log,1,0,0,,,,NG_Number/h
3041,D366,D,366,float32,log,1,0,2,,,,OK/%
3042,D368,D,368,float32,log,1,0,2,,,,NG/%
2000,L2001,L,2001,bool,alm,1,0,,,,,1#위치 분활 실린더 수동 미환원
2001,L2002,L,2002,bool,alm,1,0,,,,,1#자재 밀기 실린더 수동 미환원
2002,L2003,L,2003,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 수동 미환원
2003,L2004,L,2004,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 수동 미환원
2004,L2005,L,2005,bool,alm,1,0,,,,,3#납 면 감지 상하 실린더 수동 미환원
2005,L2006,L,2006,bool,alm,1,0,,,,,자재 투입 서보 상하 실린더 수동 미환원
2006,L2007,L,2007,bool,alm,1,0,,,,,자재 피킹 서보 전후 실린더 수동 미환원
2007,L2008,L,2008,bool,alm,1,0,,,,,4#리벳팅 상하 실린더 수동 미환원
2008,L2009,L,2009,bool,alm,1,0,,,,,2#FLUX 실린더 수동미환원
2069,L3001,L,3001,bool,alm,1,0,,,,,1# 위치 분활 실린더 이상
2070,L3002,L,3002,bool,alm,1,0,,,,,1# 자재 밀어내기 실린더 이상
2071,L3003,L,3003,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 이상
2072,L3004,L,3004,bool,alm,1,0,,,,,3#납 뽑기 전후 실린더 이상
2073,L3005,L,3005,bool,alm,1,0,,,,,3#납 면 감지 상하 실린더 이상
2074,L3006,L,3006,bool,alm,1,0,,,,,자재 투입 서보 상하 실린더 이상
2075,L3007,L,3007,bool,alm,1,0,,,,,자재 피킹서보 전후 실린더 이상
2076,L3008,L,3008,bool,alm,1,0,,,,,4#리벳팅 상하실린더 이상
2077,L3009,L,3009,bool,alm,1,0,,,,,2#FLUX 실린더 이상
2139,L800,L,800,bool,alm,1,0,,,,,리셋 시간 초과
2162,L823,L,823,bool,alm,1,0,,,,,위치 결정 모듈 1 고장
2163,L824,L,824,bool,alm,1,0,,,,,위치 결정 모듈 2 고장
2164,L825,L,825,bool,alm,1,0,,,,,위치 결정 모듈 3 고장
2165,L826,L,826,bool,alm,1,0,,,,,위치 결정 모듈 4 고장
2166,L827,L,827,bool,alm,1,0,,,,,위치 결정 모듈 5 고장
2167,L828,L,828,bool,alm,1,0,,,,,위치 결정 모듈 6 고장
2168,L829,L,829,bool,alm,1,0,,,,,위치 결정 모듈 7 고장
2169,L830,L,830,bool,alm,1,0,,,,,ST0 유닛 복귀 시간 초과
2170,L831,L,831,bool,alm,1,0,,,,,ST1 유닛 복귀 시간 초과
2171,L832,L,832,bool,alm,1,0,,,,,ST2 유닛 복귀 시간 초과
2172,L833,L,833,bool,alm,1,0,,,,,ST3 유닛 복귀 시간 초과
2173,L834,L,834,bool,alm,1,0,,,,,ST4 유닛 복귀 시간 초과
2179,L840,L,840,bool,alm,1,0,,,,,열리벳 공정에서 완료하지 않았습니다. 제품을 가져가고 기억을 지워주세요.
2199,L860,L,860,bool,alm,1,0,,,,,저기압 알람
2200,L861,L,861,bool,alm,1,0,,,,,자재 투입 좌우 서보 알람
2201,L862,L,862,bool,alm,1,0,,,,,자재 투입 상하 서보 알람
2202,L863,L,863,bool,alm,1,0,,,,,자재 피킹 서보 알람
2220,L881,L,881,bool,alm,1,0,,,,,자재 투입 좌우 서보 마이너스 리미트 이상
2221,L882,L,882,bool,alm,1,0,,,,,자재 투입 상하 서보 마이너스 리미트 이상
2222,L883,L,883,bool,alm,1,0,,,,,자재 피킹 서보 마이너스 리미트 이상
2240,L901,L,901,bool,alm,1,0,,,,,자재 투입 좌우 서보 플러스 리미트 이상
2241,L902,L,902,bool,alm,1,0,,,,,자재 투입 상하 서보 플러스 리미트 이상
2242,L903,L,903,bool,alm,1,0,,,,,자재 피킹 서보 플러스 리미트 이상
2330,L991,L,991,bool,alm,1,0,,,,,급정지가 눌러져 있음
2331,L992,L,992,bool,alm,1,0,,,,,일시정지 버튼이 눌려져 있음
2332,L993,L,993,bool,alm,1,0,,,,,안전문이 이미 열렸습니다.
2333,L994,L,994,bool,alm,1,0,,,,,에어 공급원  열리지 않음
2339,L700,L,700,bool,alm,1,0,,,,,리셋  되지 않음
2340,L701,L,701,bool,alm,1,0,,,,,3#상하 서보 1 원점으로 돌아가지 않았습니다
2341,L702,L,702,bool,alm,1,0,,,,,3#상하 서보 2 원점으로 돌아가지 않았습니다
2342,L703,L,703,bool,alm,1,0,,,,,4#상하 서보 1 원점으로 돌아가지 않았습니다
2350,L711,L,711,bool,alm,1,0,,,,,건조기 히터 1 단선
