tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
237,D210,D,210,uint32,plc_data,1,0,,10,,,총 생산량
232,D200,D,200,uint32,plc_data,1,0,,8,,,생산수량
233,D202,D,202,uint32,plc_data,1,0,,8,,,OK 수량_PCS
234,D204,D,204,uint32,plc_data,1,0,,8,,,NG 수량_PCS
240,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
1000,Y401,Y,401,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,402,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,403,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,404,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,405,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,406,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,407,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,408,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,409,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40A,Y,40A,bool,plc_data,1,0,,,,,잔여물 처리 표시등
1010,Y40C,Y,40C,bool,tl_data,1,0,,,,,TL_RED
1011,Y40D,Y,40D,bool,tl_data,1,0,,,,,TL_Green
1012,Y40E,Y,40E,bool,tl_data,1,0,,,,,TL_Yellow
3000,M188,M,188,bool,log,1,0,,,,,Log3(D360-D368)
3001,D360,D,360,uint32,log,1,0,0,,,,Number/h
3002,D362,D,362,uint32,log,1,0,0,,,,OK_Number/h
3003,D364,D,364,uint32,log,1,0,0,,,,NG_Number/h
3004,D366,D,366,float32,log,1,0,2,,,,OK/%
3005,D368,D,368,float32,log,1,0,2,,,,NG/%
2000,L2001,L,2001,bool,alm,1,0,,,,,0# 이온 송풍 전자 밸브 수동 미환원
2001,L2002,L,2002,bool,alm,1,0,,,,,1# 탄창 클램프 위치 결정 실린더 수동 미환원
2002,L2003,L,2003,bool,alm,1,0,,,,,1# 탄창 클램프 상하 실린더 수동 미환원
2003,L2004,L,2004,bool,alm,1,0,,,,,1# 탄창 클램프 실린더 수동미환원
2004,L2005,L,2005,bool,alm,1,0,,,,,1# 실린더 압출 수동 미환원
