tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
131,D210,D,210,uint32,plc_data,1,0,,10,,,총 생산량
126,D200,D,200,uint32,plc_data,1,0,,8,,,생산수량
127,D202,D,202,uint32,plc_data,1,0,,8,,,OK 수량_PCS
128,D204,D,204,uint32,plc_data,1,0,,8,,,NG 수량_PCS
134,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
1000,Y401,Y,401,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,402,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,403,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,404,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,405,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,406,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,407,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,408,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,409,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40C,Y,40C,bool,tl_data,1,0,,,,,TL_RED
1010,Y40D,Y,40D,bool,tl_data,1,0,,,,,TL_Green
1011,Y40E,Y,40E,bool,tl_data,1,0,,,,,TL_Yellow
2000,L2001,L,2001,bool,alm,1,0,,,,,0#(피킹)피더 실린더 수동 미환원
2001,L2002,L,2002,bool,alm,1,0,,,,,0#(피킹) 피드 전후 실린더 수동 미환원
2002,L2003,L,2003,bool,alm,1,0,,,,,1# (재료투입구)푸셔 실린더 수동 미환원
2003,L2004,L,2004,bool,alm,1,0,,,,,1# (재료투입구)댐퍼 실린더 수동 미환원
2004,L2005,L,2005,bool,alm,1,0,,,,,2#(단자휨검사)상하 실린더 수동 미환원
2005,L2006,L,2006,bool,alm,1,0,,,,,3#(케이스 범프 검사)상하 실린더 수동 미환원
2006,L2007,L,2007,bool,alm,1,0,,,,,4#(NG원단)댐퍼 실린더 수동 미환원
2007,L2008,L,2008,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 1 수동 미환원
2008,L2009,L,2009,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 2 수동 미환원
2009,L2010,L,2010,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 3 수동 미환원
2010,L2011,L,2011,bool,alm,1,0,,,,,4#(NG원단)NG 클립 실린더 4 수동 미환원
2011,L2012,L,2012,bool,alm,1,0,,,,,5#(완성품출하)푸셔 실린더 수동 미환원
2012,L2013,L,2013,bool,alm,1,0,,,,,5#(완성품출하)배출 좌우 실린더 수동 미환원
2013,L2014,L,2014,bool,alm,1,0,,,,,5#(완성품출하)배출 전후 실린더 수동 미환원
2014,L2015,L,2015,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱 고정 실린더 1 수동 미환원
2015,L2016,L,2016,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱고정 실린더 2 수동 미환원
2016,L2017,L,2017,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱  피더 상하 실린더 수동 미환원
2017,L2018,L,2018,bool,alm,1,0,,,,,6#(빈스틱이송)빈 스틱  피더 좌우 실린더 수동 미환원
2018,L2019,L,2019,bool,alm,1,0,,,,,6#(빈스틱이송)피드 스틱 고정 실린더 1 수동 미환원
2019,L2020,L,2020,bool,alm,1,0,,,,,6#(빈스틱이송)피드 스틱고정 실린더 2 수동 미환원
2020,L2021,L,2021,bool,alm,1,0,,,,,5#(완성품출하)하부 스토퍼 실린더 수동 미환원
2021,L2022,L,2022,bool,alm,1,0,,,,,7#(파이프피더)피펫 상하 실린더 수동 미환원
2035,L2036,L,2036,bool,alm,1,0,,,,,8#(원료공급)피더 실린더 수동 미환원
