tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
90,D210,D,210,uint32,plc_data,1,0,,10,,,총 생산량
85,D200,D,200,uint32,plc_data,1,0,,8,,,생산수량
86,D202,D,202,uint32,plc_data,1,0,,8,,,OK 수량_PCS
87,D204,D,204,uint32,plc_data,1,0,,8,,,NG 수량_PCS
93,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
1000,Y401,Y,401,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,402,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,403,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,404,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,405,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,406,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,407,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,408,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,409,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40A,Y,40A,bool,plc_data,1,0,,,,,잔여물 처리 표시등
1010,Y40C,Y,40C,bool,tl_data,1,0,,,,,TL_RED
1011,Y40D,Y,40D,bool,tl_data,1,0,,,,,TL_Green
1012,Y40E,Y,40E,bool,tl_data,1,0,,,,,TL_Yellow
2000,L2001,L,2001,bool,alm,1,0,,,,,1#위치 분활 실린더 수동 미환원
2001,L2002,L,2002,bool,alm,1,0,,,,,1#자재 밀기 실린더 수동 미환원
2002,L2003,L,2003,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 수동 미환원
2003,L2004,L,2004,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 수동 미환원
2004,L2005,L,2005,bool,alm,1,0,,,,,3#납 면 감지 상하 실린더 수동 미환원
2005,L2006,L,2006,bool,alm,1,0,,,,,자재 투입 서보 상하 실린더 수동 미환원
2006,L2007,L,2007,bool,alm,1,0,,,,,자재 피킹 서보 전후 실린더 수동 미환원
2007,L2008,L,2008,bool,alm,1,0,,,,,4#리벳팅 상하 실린더 수동 미환원
2008,L2009,L,2009,bool,alm,1,0,,,,,2#FLUX 실린더 수동미환원
2069,L3001,L,3001,bool,alm,1,0,,,,,1# 위치 분활 실린더 이상
2070,L3002,L,3002,bool,alm,1,0,,,,,1# 자재 밀어내기 실린더 이상
2071,L3003,L,3003,bool,alm,1,0,,,,,3#납 뽑기 상하 실린더 이상
2072,L3004,L,3004,bool,alm,1,0,,,,,3#납 뽑기 전후 실린더 이상
2073,L3005,L,3005,bool,alm,1,0,,,,,3#납 면 감지 상하 실린더 이상
2074,L3006,L,3006,bool,alm,1,0,,,,,자재 투입 서보 상하 실린더 이상
2075,L3007,L,3007,bool,alm,1,0,,,,,자재 피킹서보 전후 실린더 이상
2076,L3008,L,3008,bool,alm,1,0,,,,,4#리벳팅 상하실린더 이상
2077,L3009,L,3009,bool,alm,1,0,,,,,2#FLUX 실린더 이상
2139,L800,L,800,bool,alm,1,0,,,,,리셋 시간 초과
2162,L823,L,823,bool,alm,1,0,,,,,위치 결정 모듈 1 고장
2163,L824,L,824,bool,alm,1,0,,,,,위치 결정 모듈 2 고장
2164,L825,L,825,bool,alm,1,0,,,,,위치 결정 모듈 3 고장
2165,L826,L,826,bool,alm,1,0,,,,,위치 결정 모듈 4 고장
2166,L827,L,827,bool,alm,1,0,,,,,위치 결정 모듈 5 고장
2167,L828,L,828,bool,alm,1,0,,,,,위치 결정 모듈 6 고장
2168,L829,L,829,bool,alm,1,0,,,,,위치 결정 모듈 7 고장
2169,L830,L,830,bool,alm,1,0,,,,,ST0 유닛 복귀 시간 초과
2170,L831,L,831,bool,alm,1,0,,,,,ST1 유닛 복귀 시간 초과
2171,L832,L,832,bool,alm,1,0,,,,,ST2 유닛 복귀 시간 초과
2172,L833,L,833,bool,alm,1,0,,,,,ST3 유닛 복귀 시간 초과
2173,L834,L,834,bool,alm,1,0,,,,,ST4 유닛 복귀 시간 초과
2179,L840,L,840,bool,alm,1,0,,,,,열리벳 공정에서 완료하지 않았습니다  제품을 가져가고 기억을 지워주세요.
2199,L860,L,860,bool,alm,1,0,,,,,저기압 알람
2200,L861,L,861,bool,alm,1,0,,,,,자재 투입 좌우 서보 알람
2201,L862,L,862,bool,alm,1,0,,,,,자재 투입 상하 서보 알람
2202,L863,L,863,bool,alm,1,0,,,,,자재 피킹 서보 알람
2220,L881,L,881,bool,alm,1,0,,,,,자재 투입 좌우 서보 마이너스 리미트 이상
2221,L882,L,882,bool,alm,1,0,,,,,자재 투입 상하 서보 마이너스 리미트 이상
2222,L883,L,883,bool,alm,1,0,,,,,자재 피킹 서보 마이너스 리미트 이상
2240,L901,L,901,bool,alm,1,0,,,,,자재 투입 좌우 서보 플러스 리미트 이상
2241,L902,L,902,bool,alm,1,0,,,,,자재 투입 상하 서보 플러스 리미트 이상
2242,L903,L,903,bool,alm,1,0,,,,,자재 피킹 서보 플러스 리미트 이상
2330,L991,L,991,bool,alm,1,0,,,,,급정지가 눌러져 있음
2331,L992,L,992,bool,alm,1,0,,,,,일시정지 버튼이 눌려져 있음
2332,L993,L,993,bool,alm,1,0,,,,,안전문이 이미 열렸습니다.
2333,L994,L,994,bool,alm,1,0,,,,,에어 공급원  열리지 않음
2339,L700,L,700,bool,alm,1,0,,,,,리셋  되지 않음
2340,L701,L,701,bool,alm,1,0,,,,,3#상하 서보 1 원점으로 돌아가지 않았습니다
2341,L702,L,702,bool,alm,1,0,,,,,3#상하 서보 2 원점으로 돌아가지 않았습니다
2342,L703,L,703,bool,alm,1,0,,,,,4#상하 서보 1 원점으로 돌아가지 않았습니다
2350,L711,L,711,bool,alm,1,0,,,,,건조기 히터 1 단선
2351,L712,L,712,bool,alm,1,0,,,,,건조기 히터 2 단선
2352,L713,L,713,bool,alm,1,0,,,,,건조기 히터 3 단선
2353,L714,L,714,bool,alm,1,0,,,,,건조기 히터 4 단선
2354,L715,L,715,bool,alm,1,0,,,,,건조기 히터5 단선
2355,L716,L,716,bool,alm,1,0,,,,,건조기 히터 6 단선
2356,L717,L,717,bool,alm,1,0,,,,,건조기 히터 7 단선
2357,L718,L,718,bool,alm,1,0,,,,,건조기 히터 8 단선
2360,L721,L,721,bool,alm,1,0,,,,,안전문 1 열림
2361,L722,L,722,bool,alm,1,0,,,,,안전문 2 열림
2362,L723,L,723,bool,alm,1,0,,,,,안전문 3 열림
2363,L724,L,724,bool,alm,1,0,,,,,안전문 4 열림
2364,L725,L,725,bool,alm,1,0,,,,,안전문 5 열림
2365,L726,L,726,bool,alm,1,0,,,,,안전문 6 열림
2369,L730,L,730,bool,alm,1,0,,,,,4#출고직진척
2370,L731,L,731,bool,alm,1,0,,,,,핫 리벳 히터 1 단선
2371,L732,L,732,bool,alm,1,0,,,,,핫 리벳 히터 2 단선
2372,L733,L,733,bool,alm,1,0,,,,,핫 리벳 히터 3 단선
2373,L734,L,734,bool,alm,1,0,,,,,핫 리벳 히터 4 단선
2374,L735,L,735,bool,alm,1,0,,,,,핫 리벳 히터 5 단선
2375,L736,L,736,bool,alm,1,0,,,,,핫 리벳 히터 6 단선
2419,L783,L,783,bool,alm,1,0,,,,,2#모타 회전 신호를 찾지 못합니다
2420,L784,L,784,bool,alm,1,0,,,,,3#납 추가중입니다
2421,L785,L,785,bool,alm,1,0,,,,,3#납 추가 시간 초과하였습니다  검사하기 바랍니다
2422,L786,L,786,bool,alm,1,0,,,,,2#FLUX가 부적합니다 추가해 주십시요
2423,L787,L,787,bool,alm,1,0,,,,,4#온도 도달하기를 기다립니다
2424,L788,L,788,bool,alm,1,0,,,,,4#온도 너무 놉습니다
2425,L790,L,790,bool,alm,1,0,,,,,1#자재 부족
2427,L792,L,792,bool,alm,1,0,,,,,3#온도 도달하기를 기다립니다
2428,L793,L,793,bool,alm,1,0,,,,,3#온도 너무 놉습니다
3000,M188,M,188,bool,log,1,0,,,,,Log3(D360-D368)
3001,D360,D,360,uint32,log,1,0,0,,,,Number/h
3002,D362,D,362,uint32,log,1,0,0,,,,OK_Number/h
3003,D364,D,364,uint32,log,1,0,0,,,,NG_Number/h
3004,D366,D,366,float32,log,1,0,2,,,,OK/%
3005,D368,D,368,float32,log,1,0,2,,,,NG/%
2435,L700,L,700,bool,action,1,0,,,,,리셋  되지 않음
2436,L701,L,701,bool,action,1,0,,,,,3#상하 서보 1 원점으로 돌아가지 않았습니다
2437,L702,L,702,bool,action,1,0,,,,,3#상하 서보 2 원점으로 돌아가지 않았습니다
2438,L703,L,703,bool,action,1,0,,,,,4#상하 서보 1 원점으로 돌아가지 않았습니다
2446,L711,L,711,bool,action,1,0,,,,,건조기 히터 1 단선
2447,L712,L,712,bool,action,1,0,,,,,건조기 히터 2 단선
2448,L713,L,713,bool,action,1,0,,,,,건조기 히터 3 단선
2449,L714,L,714,bool,action,1,0,,,,,건조기 히터 4 단선
2450,L715,L,715,bool,action,1,0,,,,,건조기 히터5 단선
2451,L716,L,716,bool,action,1,0,,,,,건조기 히터 6 단선
2452,L717,L,717,bool,action,1,0,,,,,건조기 히터 7 단선
2453,L718,L,718,bool,action,1,0,,,,,건조기 히터 8 단선
2456,L721,L,721,bool,action,1,0,,,,,안전문 1 열림
2457,L722,L,722,bool,action,1,0,,,,,안전문 2 열림
2458,L723,L,723,bool,action,1,0,,,,,안전문 3 열림
2459,L724,L,724,bool,action,1,0,,,,,안전문 4 열림
2460,L725,L,725,bool,action,1,0,,,,,안전문 5 열림
2461,L726,L,726,bool,action,1,0,,,,,안전문 6 열림
2465,L730,L,730,bool,action,1,0,,,,,4#출고직진척
2466,L731,L,731,bool,action,1,0,,,,,핫 리벳 히터 1 단선
2467,L732,L,732,bool,action,1,0,,,,,핫 리벳 히터 2 단선
2468,L733,L,733,bool,action,1,0,,,,,핫 리벳 히터 3 단선
2469,L734,L,734,bool,action,1,0,,,,,핫 리벳 히터 4 단선
2470,L735,L,735,bool,action,1,0,,,,,핫 리벳 히터 5 단선
2471,L736,L,736,bool,action,1,0,,,,,핫 리벳 히터 6 단선
