tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
328,D210,D,210,uint32,plc_data,1,0,,6,,,총 생산량
332,D796,D,796,uint32,plc_data,1,0,,6,,,생산수량
333,D798,D,798,uint32,plc_data,1,0,,6,,,OK 수량_PCS
336,D816,D,816,uint32,plc_data,1,0,,6,,,NG 수량_PCS
331,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
334,D820,D,820,float32,plc_data,1,0,1,,,,직행율
335,D900,D,900,string,plc_data,1,0,,10,,,설비명
1000,Y401,Y,401,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,402,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,403,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,404,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,405,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,406,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,407,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,408,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,409,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40A,Y,40A,bool,plc_data,1,0,,,,,잔여물 처리 표시등
1010,Y40C,Y,40C,bool,tl_data,1,0,,,,,TL_RED
1011,Y40D,Y,40D,bool,tl_data,1,0,,,,,TL_Green
1012,Y40E,Y,40E,bool,tl_data,1,0,,,,,TL_Yellow
1013,Y47E,Y,47E,bool,plc_data,1,0,,,,,10# 빨간색 표시등
1014,Y47F,Y,47F,bool,plc_data,1,0,,,,,10# 녹색 표시등
3000,D360,D,360,uint32,log,1,0,0,,,,Number/h
3001,D362,D,362,uint32,log,1,0,0,,,,OK_Number/h
3002,D364,D,364,uint32,log,1,0,0,,,,NG_Number/h
3003,D366,D,366,float32,log,1,0,2,,,,OK/%
3004,D368,D,368,float32,log,1,0,2,,,,NG/%
3005,M180,M,180,bool,log,1,0,,,,,Log1(R9116-R9458)
3006,M188,M,188,bool,log,1,0,,,,,Log3(D360-D368)
3007,M197,M,197,bool,log,1,0,,,,,Log7(D2758-D3008)
3008,R9100,R,9100,string,log,,,,2,,,Sta_ST1
3009,R9116,R,9116,float32,log,1,0,1,,,,Lea_L_ST1
3010,R9118,R,9118,float32,log,1,0,1,,,,Lea_R_ST1
3011,R9122,R,9122,float32,log,1,0,2,,,,Gap_L_ST1
3012,R9124,R,9124,float32,log,1,0,2,,,,Gap_R_ST1
3013,R9136,R,9136,float32,log,1,0,0,,,,MPC_L_ST1
3014,R9140,R,9140,float32,log,1,0,0,,,,MPC_R_ST1
3015,R9146,R,9146,float32,log,1,0,1,,,,OP_L_ST1
3016,R9148,R,9148,float32,log,1,0,1,,,,OP_R_ST1
3017,R9152,R,9152,float32,log,1,0,1,,,,REL_L_ST1
3018,R9154,R,9154,float32,log,1,0,1,,,,REL_R_ST1
3019,R9158,R,9158,float32,log,1,0,0,,,,Time_ST1
3020,R9200,R,9200,string,log,,,,2,,,Sta_ST2
3021,R9216,R,9216,float32,log,1,0,1,,,,Lea_L_ST2
3022,R9218,R,9218,float32,log,1,0,1,,,,Lea_R_ST2
3023,R9222,R,9222,float32,log,1,0,2,,,,Gap_L_ST2
3024,R9224,R,9224,float32,log,1,0,2,,,,Gap_R_ST2
3025,R9236,R,9236,float32,log,1,0,0,,,,MPC_L_ST2
3026,R9240,R,9240,float32,log,1,0,0,,,,MPC_R_ST2
3027,R9246,R,9246,float32,log,1,0,1,,,,OP_L_ST2
3028,R9248,R,9248,float32,log,1,0,1,,,,OP_R_ST2
3029,R9252,R,9252,float32,log,1,0,1,,,,REL_L_ST2
3030,R9254,R,9254,float32,log,1,0,1,,,,REL_R_ST2
3031,R9258,R,9258,float32,log,1,0,0,,,,Time_ST2
3032,R9300,R,9300,string,log,,,,2,,,Sta_ST3
3033,R9316,R,9316,float32,log,1,0,1,,,,Lea_L_ST3
3034,R9318,R,9318,float32,log,1,0,1,,,,Lea_R_ST3
3035,R9322,R,9322,float32,log,1,0,2,,,,Gap_L_ST3
3036,R9324,R,9324,float32,log,1,0,2,,,,Gap_R_ST3
3037,R9336,R,9336,float32,log,1,0,0,,,,MPC_L_ST3
3038,R9340,R,9340,float32,log,1,0,0,,,,MPC_R_ST3
3039,R9346,R,9346,float32,log,1,0,1,,,,OP_L_ST3
3040,R9348,R,9348,float32,log,1,0,1,,,,OP_R_ST3
3041,R9352,R,9352,float32,log,1,0,1,,,,REL_L_ST3
3042,R9354,R,9354,float32,log,1,0,1,,,,REL_R_ST3
3043,R9358,R,9358,float32,log,1,0,0,,,,Time_ST3
3044,R9400,R,9400,string,log,,,,2,,,Sta_ST4
3045,R9416,R,9416,float32,log,1,0,1,,,,Lea_L_ST4
3046,R9418,R,9418,float32,log,1,0,1,,,,Lea_R_ST4
3047,R9422,R,9422,float32,log,1,0,2,,,,Gap_L_ST4
3048,R9424,R,9424,float32,log,1,0,2,,,,Gap_R_ST4
3049,R9436,R,9436,float32,log,1,0,0,,,,MPC_L_ST4
3050,R9440,R,9440,float32,log,1,0,0,,,,MPC_R_ST4
3051,R9446,R,9446,float32,log,1,0,1,,,,OP_L_ST4
3052,R9448,R,9448,float32,log,1,0,1,,,,OP_R_ST4
3053,R9452,R,9452,float32,log,1,0,1,,,,REL_L_ST4
3054,R9454,R,9454,float32,log,1,0,1,,,,REL_R_ST4
3055,R9458,R,9458,float32,log,1,0,0,,,,Time_ST4
3056,D2758,D,2758,float32,log,1,0,2,,,,OpenVol_L1
3057,D2766,D,2766,float32,log,1,0,2,,,,OpenVol_R1
3058,D2778,D,2778,float32,log,1,0,2,,,,ResetVol_L1
3059,D2786,D,2786,float32,log,1,0,2,,,,ResetVol_R1
3060,D2798,D,2798,float32,log,1,0,2,,,,Time1
3061,D2828,D,2828,float32,log,1,0,2,,,,OpenVol_L2
3062,D2836,D,2836,float32,log,1,0,2,,,,OpenVol_R2
3063,D2848,D,2848,float32,log,1,0,2,,,,ResetVol_L2
3064,D2856,D,2856,float32,log,1,0,2,,,,ResetVol_R2
3065,D2868,D,2868,float32,log,1,0,2,,,,Time2
3066,D2898,D,2898,float32,log,1,0,2,,,,OpenVol_L3
3067,D2906,D,2906,float32,log,1,0,2,,,,OpenVol_R3
3068,D2918,D,2918,float32,log,1,0,2,,,,ResetVol_L3
3069,D2926,D,2926,float32,log,1,0,2,,,,ResetVol_R3
3070,D2938,D,2938,float32,log,1,0,2,,,,Time3
3071,D2968,D,2968,float32,log,1,0,2,,,,OpenVol_L4
3072,D2976,D,2976,float32,log,1,0,2,,,,OpenVol_R4
3073,D2988,D,2988,float32,log,1,0,2,,,,ResetVol_L4
3074,D2996,D,2996,float32,log,1,0,2,,,,ResetVol_R4
3075,D3008,D,3008,float32,log,1,0,2,,,,Time4
2000,L2001,L,2001,bool,alm,1,0,,,,,0# 이온 송풍 전자 밸브 수동 미환원
2001,L2002,L,2002,bool,alm,1,0,,,,,1#직진 피더 피킹 실린더 수동 미환원
2002,L2003,L,2003,bool,alm,1,0,,,,,1#직진 피더 다운 실린더 수동 미환원
2003,L2004,L,2004,bool,alm,1,0,,,,,1#직진 피더 미스 실린더 수동 미환원
2004,L2005,L,2005,bool,alm,1,0,,,,,1# 실린더에 직진 미스매치 수동 미환원
2005,L2006,L,2006,bool,alm,1,0,,,,,1# 상/하 실린더 수동 미환원
2006,L2007,L,2007,bool,alm,1,0,,,,,1# 자재 투입 가로이동 실린더 수동 미환원
2007,L2008,L,2008,bool,alm,1,0,,,,,1# 자재 투입 회 실린더 수동 미환원
2008,L2009,L,2009,bool,alm,1,0,,,,,1# 자재 투입 그립퍼 수동 미환원
2009,L2010,L,2010,bool,alm,1,0,,,,,2# 이온 송풍 전자 밸브 수동 미환원
2010,L2011,L,2011,bool,alm,1,0,,,,,2# PIN 상하 실린더 수동 미환원
2011,L2012,L,2012,bool,alm,1,0,,,,,2# 상하 실린더 수동 미환원
2012,L2013,L,2013,bool,alm,1,0,,,,,2# 그립퍼 수동 미환원
2013,L2014,L,2014,bool,alm,1,0,,,,,3# PIN 상하 실린더 수동 미환원
2014,L2015,L,2015,bool,alm,1,0,,,,,3# 상하 실린더 수동 미환원
2015,L2016,L,2016,bool,alm,1,0,,,,,3# 그립퍼 수동 미환원
2016,L2017,L,2017,bool,alm,1,0,,,,,4# PIN 상하 실린더 수동 미환원
2017,L2018,L,2018,bool,alm,1,0,,,,,4# 상하 실린더 수동 미환원
2018,L2019,L,2019,bool,alm,1,0,,,,,4# 그립퍼 수동 미환원
2019,L2020,L,2020,bool,alm,1,0,,,,,5# 상하 실린더 수동 미환원
2020,L2021,L,2021,bool,alm,1,0,,,,,5# 그립퍼 수동 미환원
2021,L2022,L,2022,bool,alm,1,0,,,,,5#검출 1 전후 실린더 수동 미환원
2022,L2023,L,2023,bool,alm,1,0,,,,,5#검출 2 전후 실린더 수동 미환원
2023,L2024,L,2024,bool,alm,1,0,,,,,5#검출 3 전후 실린더 수동 미환원
2024,L2025,L,2025,bool,alm,1,0,,,,,5#검출 4 전후 실린더 수동 미환원
2025,L2026,L,2026,bool,alm,1,0,,,,,6# 상하 실린더 수동 미환원
2026,L2027,L,2027,bool,alm,1,0,,,,,6# 그립퍼 수동 미환원
2027,L2028,L,2028,bool,alm,1,0,,,,,6#검출 1 전후 실린더 수동 미환원
2028,L2029,L,2029,bool,alm,1,0,,,,,6#검출 2 전후 실린더 수동 미환원
2029,L2030,L,2030,bool,alm,1,0,,,,,6#검출 3 전후 실린더 수동 미환원
2030,L2031,L,2031,bool,alm,1,0,,,,,6#검출 4 전후 실린더 수동 미환원
2031,L2032,L,2032,bool,alm,1,0,,,,,7# PIN 상하 실린더 수동 미환원
2032,L2033,L,2033,bool,alm,1,0,,,,,7# 상하 실린더 수동 미환원
2033,L2034,L,2034,bool,alm,1,0,,,,,7# 그립퍼 수동 미환원
2034,L2035,L,2035,bool,alm,1,0,,,,,8# PIN 상하 실린더 수동 미환원
2035,L2036,L,2036,bool,alm,1,0,,,,,8# 상하 실린더 수동 미환원
2036,L2037,L,2037,bool,alm,1,0,,,,,8# 그립퍼 수동 미환원
2037,L2038,L,2038,bool,alm,1,0,,,,,9# 상하 실린더 수동 미환원
2038,L2039,L,2039,bool,alm,1,0,,,,,9#가로이동 실린더 수동 미환원
2039,L2040,L,2040,bool,alm,1,0,,,,,9#회전 실린더 수동 미환원
2040,L2041,L,2041,bool,alm,1,0,,,,,9#그립퍼 1 수동 미환원
2041,L2042,L,2042,bool,alm,1,0,,,,,9#그립퍼 2 수동 미환원
2042,L2043,L,2043,bool,alm,1,0,,,,,9#그립퍼 3 수동 미환원
2043,L2044,L,2044,bool,alm,1,0,,,,,9#그립퍼 4 수동 미환원
2044,L2045,L,2045,bool,alm,1,0,,,,,9#직진 피더 피킹 실린더 수동 미환원
2045,L2046,L,2046,bool,alm,1,0,,,,,9#직진 피더 상하 실린더 수동 미환원
2046,L2047,L,2047,bool,alm,1,0,,,,,9#직진 피더 자재 밀어내기 실린더 수동 미환원
2048,L2049,L,2049,bool,alm,1,0,,,,,10#상하 실린더 수동 미환원
2049,L2050,L,2050,bool,alm,1,0,,,,,10#그립퍼 1 수동 미환원
